urn,label,description,data,link
urn:cite2:hmt:place.v1:place396,Adrasteia,"or Adrastea, a region of Mysia","commenting=""Commander: Adrastos"" coordinates=""27.191289, 40.383655""",https://pleiades.stoa.org/places/511138
urn:cite2:exploreHomer:place.v1:place8,Perkote,"An ancient place, cited: BAtlas 51 H4 Perkote","commenting=""Commander: Asios"" coordinates=""26.588806, 40.273913""",https://pleiades.stoa.org/places/501556
urn:cite2:hmt:place.v1:place410,Ascania,a district of Phrygia,"tagging=""Phrygians"" commenting=""Commanders: Phorkys, Askanios"" coordinates=""29.75, 40.25""",https://pleiades.stoa.org/places/511165
urn:cite2:hmt:place.v1:place189,Echinades,"also called with Echinae, group of islands in the Ionian Sea","tagging=""Dulichium"" commenting=""Commanders: Meges, Phyleus"" coordinates=""21.25, 38.25""",https://pleiades.stoa.org/places/530852
urn:cite2:hmt:place.v1:place88,Zeleia,"town allied to Troy, at the foot of Mt. Ida","tagging=""Teleans"" commenting=""Commander: Pandaros"" coordinates=""27.5950731, 40.2035643""",https://pleiades.stoa.org/places/511461
urn:cite2:exploreHomer:place.v1:place23,Midea,"An ancient site in the Argolid in Greece, it shares a name with the neighboring modern town.","tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""22.842, 37.65""",https://pleiades.stoa.org/places/570485
urn:cite2:hmt:place.v1:place141,Plataea,town in Boeotia,"tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""23.273866, 38.221019""",https://pleiades.stoa.org/places/541063
urn:cite2:hmt:place.v1:place151,Lilaia,town in Phocis,"tagging=""Phocaeans"" commenting=""Commanders: Schedios, Epistrophos"" coordinates=""22.50592, 38.62687""",https://pleiades.stoa.org/places/540915
urn:cite2:hmt:place.v1:place371,Carpathus,an island between Crete and Rhodes,"commenting=""Commanders: Pheidippos, Antiphos"" coordinates=""27.133333, 35.583333""",https://pleiades.stoa.org/places/589841
urn:cite2:hmt:place.v1:place388,Ithome,a city in Thessaly,"commenting=""Commanders: Asklepios, Podaleirios, Machaon"" coordinates=""21.920439, 37.175491""",https://pleiades.stoa.org/places/540841
urn:cite2:hmt:place.v1:place370,Nisyrus,"small island, one of the Sporades","commenting=""Commanders: Pheidippos, Antiphos"" coordinates=""27.15597, 36.58892""",https://pleiades.stoa.org/places/599830
urn:cite2:hmt:place.v1:place380,Pteleon,a town in Thessaly,"tagging=""Phylake"" commenting=""Commander: Podarkes"" coordinates=""22.97464, 39.03369""",https://pleiades.stoa.org/places/541077
urn:cite2:hmt:place.v1:place190,Doulichion,"Dulichium, or Dolicha, or Doliche, island in the Echinades","tagging=""Dulichium"" commenting=""Commanders: Meges, Phyleus"" coordinates=""21.15177, 38.32079""",https://pleiades.stoa.org/places/530845
urn:cite2:exploreHomer:place.v1:place24,Maionia/Mysia,"An ancient place, cited: BAtlas 56 G4 Maionia/Mysia","tagging=""Meonians"" commenting=""Commanders: Mesthles, Antiphos"" coordinates=""28.25, 38.75""",https://pleiades.stoa.org/places/550710
urn:cite2:hmt:place.v1:place1,Athens,city in Attica,"coordinates=""23.726464, 37.971687""",https://pleiades.stoa.org/places/579885
urn:cite2:exploreHomer:place.v1:place25,Pontus Euxinus,The Black Sea.,"coordinates=""34.7425505, 43.0786852""",https://pleiades.stoa.org/places/1224
urn:cite2:hmt:place.v1:place308,Thisbe,a town in Boeotia,"tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""22.96835, 38.259722""",https://pleiades.stoa.org/places/541146
urn:cite2:exploreHomer:place.v1:place26,Hermion(e),Hermion(e) was a settlement of the eastern Argolid.,"tagging=""Argolis"" commenting=""Commanders: Diomedes, Sthenelos, Euryalos"" coordinates=""23.243591, 37.385218""",https://pleiades.stoa.org/places/570292
urn:cite2:hmt:place.v1:place277,Helice,"city located in Achaea, northern Peloponnesos, submerged in a tsunami in 373 BCE","tagging=""Mycenaeans"" commenting=""Commander: Agamemnon"" coordinates=""22.14015, 38.22257""",https://pleiades.stoa.org/places/570281
urn:cite2:exploreHomer:place.v1:place27,Lykastos,"An ancient place, cited: BAtlas 60 D2 Lykastos","tagging=""Cretans"" commenting=""Commander: Idomeneus"" coordinates=""25.10388, 35.20224""",https://pleiades.stoa.org/places/589917
urn:cite2:hmt:place.v1:place386,Olizon,a town in Magnesia in Thessaly,"tagging=""Methonians"" commenting=""Commander: Philoktetes"" coordinates=""23.21711, 39.13534""",https://pleiades.stoa.org/places/540979
urn:cite2:exploreHomer:place.v1:place28,Titaresios (river),"An ancient place, cited: BAtlas 55 C1 Titaresios fl.","tagging=""Peraebi"" commenting=""Commander: Guneus"" coordinates=""22.25, 39.75""",https://pleiades.stoa.org/places/541151
urn:cite2:hmt:place.v1:place21,Crete,island south of mainland Greece,"tagging=""Cretans"" commenting=""Commander: Idomeneus"" coordinates=""24.995769971495, 35.219844391733""",https://pleiades.stoa.org/places/589748
urn:cite2:exploreHomer:place.v1:place29,Hyperasia,"An ancient place, cited: BAtlas 58 unlocated Hyperasia","tagging=""Mycenaeans"" commenting=""Commander: Agamemnon""",https://pleiades.stoa.org/places/573256
urn:cite2:hmt:place.v1:place194,Crisa,near the Delphic oracle,"tagging=""Phocaeans"" commenting=""Commanders: Schedios, Epistrophos"" coordinates=""22.4689446, 38.4753859""",https://pleiades.stoa.org/places/540889
urn:cite2:hmt:place.v1:place394,Peneus,"or Peneius, a river in Thessaly","coordinates=""21.75, 39.75""",https://pleiades.stoa.org/places/541022
urn:cite2:exploreHomer:place.v1:place30,Alybe,"An ancient place, cited: BAtlas 56 unlocated Alybe","tagging=""Halizoni"" commenting=""Commanders: Odios, Epistrophos""",https://pleiades.stoa.org/places/554184
urn:cite2:exploreHomer:place.v1:place31,Xanthos (river),"An ancient place, cited: BAtlas 86 D3 Xanthos fl.","tagging=""Lycians"" commenting=""Commanders: Sarpedon, Glaukos"" coordinates=""33.5, 40.5""",https://pleiades.stoa.org/places/845090
