ve_ref,value,tags
1.89.t1,σοὶ,Dat1.
1.89.t2,κοίλῃς,Agr.
1.89.t3,παρὰ,Prep3.
1.89.t4,νηυσί,GBP.
1.89.t5,βαρείας,Agr.
1.89.t6,χεῖρας,Acc1.
1.89.t7,ἐποίσει,Fut.
1.90.t1,συμπάντων,Agr.
1.90.t2,Δαναῶν,Gen2.
1.90.t3,οὐ,
1.90.t4,ἢν,
1.90.t5,Ἀγαμέμνονα,Acc1.
1.90.t6,εἴπῃς,Aor12.;Subj.
1.91.t1,ὃς,Nom1.
1.91.t2,νῦν,
1.91.t3,πολλὸν,Acc8.
1.91.t4,ἄριστος,Nom2.
1.91.t5,Ἀχαιῶν,Gen13.
1.91.t6,εὔχεται,Pres.;Mid.
1.91.t7,εἶναι,Pres6.;Inf2.
1.92.t1,καὶ,
1.92.t2,τότε,
1.92.t3,δὴ,
1.92.t4,θάρσησε,Aor.
1.92.t5,καὶ,
1.92.t6,ηὔδα,Impf1.
1.92.t7,μάντις,Nom1.
1.92.t8,ἀμύμων,Agr.
1.93.t1,οὔ,
1.93.t2,τ',
1.93.t3,ἄρ,
1.93.t4,ὅ,Nom1.
1.93.t5,γ',
1.93.t6,εὐχωλῆς,Gen17.
1.93.t7,ἐπιμέμφεται,Pres.;Mid.;.?.
1.93.t8,οὐ,
1.93.t9,ἑκατόμβης,Gen17.
1.94.t1,ἀλλ',
1.94.t2,ἕνεκ',Prep1.
1.94.t3,ἀρητῆρος,GBP.
1.94.t4,ὃν,Acc1.
1.94.t5,ἠτίμησ',Aor2.
1.94.t6,Ἀγαμέμνων,Nom1.
1.95.t1,οὐ,
1.95.t2,ἀπέλυσε,Aor2.
1.95.t3,θύγατρα,Acc1.
1.95.t4,καὶ,
1.95.t5,οὐκ,
1.95.t6,ἀπεδέξατ',Aor2.;Mid1.
1.95.t7,ἄποινα,Acc1.
1.96.t1,τοὔνεκ',
1.96.t2,ἄρ',
1.96.t3,ἄλγε',Acc1.
1.96.t4,ἔδωκεν,Aor2.
1.96.t5,ἑκηβόλος,Nom1.
1.96.t6,ἠδ',
1.96.t7,ἔτι,
1.96.t8,δώσει,Fut.
1.97.t1,οὐ,
1.97.t2,ὅ,Nom1.
1.97.t3,γε,
1.97.t4,πρὶν,
1.97.t5,Δαναοῖσιν,Dat3.
1.97.t6,ἀεικέα,Agr.
1.97.t7,λοιγὸν,Acc1.
1.97.t8,ἀπώσει,Fut.
1.98.t1,πρίν,
1.98.t2,γ',
