τρὶς,τρίς,d--------,سوم، بار سوم,Ref=1.213
τριτάτοισιν,τρίτατος,a-p---md-,(میان) سومین,Ref=1.252
Τροίην,Τροία,n-s---fa-,ترویا,Ref=1.129
Τρώων,Τρώς,n-p----g-,تروس,Ref=1.152
τυτθὸν,τυτθός,a-s---na-,اندک، کوچک، ذره‌,Ref=1.354
τώ,τῷ,d--------,پس، بنابراین,Ref=1.418
ὕβριος,ὕβρις,n-s---fg-,گستاخی,Ref=1.214
ὑγρὰ,ὑγρός,a-p---na-,مرطوب، تر، پر آب,Ref=1.312
υἱός,υἱός,n-s---mn-,پسر,Ref=1.9|SpaceAfter=No
ὑπείξομαι,ὑπείκω,v1sasm---,واگذاردن، تسلیم کردن,Ref=1.294
ὑπὲρ,ὑπέρ,r--------,بالای، به خاطر,Ref=1.444
ὑπεροπλίῃσι,ὑπεροπλία,n-p---fd-,جسارت,Ref=1.205
ὑπόσχεο,ὑπισχνέομαι,v2saim---,بر عهده گرفتن، عهد بستن,Ref=1.514
ὕπνος,ὕπνος,n-s---mn-,خواب,Ref=1.610
ὑφ',ὑπό,r--------,زیر، توسط,Ref=1.242
ὑποβλήδην,ὑποβλήδην,d--------,با ایجاد وقفه، حرف قطع کرده,Ref=1.292
ὑπέδεισαν,ὑποδείδω,v3paia---,از ترس چندک زدن,Ref=1.406
ὑπόδρα,ὑπόδρα,d--------,قهرآلود، از زیر,Ref=1.148
ὑπελύσαο,ὑπολύω,v2saim---,رهاندن، آزاد کردن,Ref=1.401
ὕστατα,ὕστατος,a-p---na-,آخرین,Ref=1.232
ὕστερον,ὕστερος,a-s---na-,بعدتر، بعدی,Ref=1.27
ὑφέντες,ὑφίημι,v-papamn-,فرو کشیدن، پایین آوردن,Ref=1.434
ὑψιβρεμέτης,ὑψιβρεμέτης,a-s---mn-,بلند-رعد,Ref=1.354|SpaceAfter=No
ὑψοῦ,ὑψοῦ,d--------,بالا، بلند,Ref=1.486
φαινομένη,φαίνω,v-sppefn-,پدیدار شدن، فروزان گشتن,Ref=1.198|SpaceAfter=No
φάος,φάος,n-s---nn-,نور,Ref=1.605
φαρέτρην,φαρέτρα,n-s---fa-,تیردان,Ref=1.45|SpaceAfter=No
φάσγανον,φάσγανον,n-s---na-,شمشیر,Ref=1.190
φέρτερόν,φέρτατος,a-s---nn-,بهترین، صفت تفضیلی: بهتر,Ref=1.169
φέρων,φέρω,v-sppamn-,بردن، آوردن,Ref=1.13
φεῦγε,φεύγω,v2spma---,گریختن,Ref=1.173
ἔφατ',φημί,v3siie---,گفتن,Ref=1.33|SpaceAfter=No
φηρσὶν,φήρ,n-p---md-,سنتور، قنطورس,Ref=1.268
Φθίην,Φθία,n-s---fa-, فتیا ,Ref=1.169
φθινύθεσκε,φθινύθω,v3siia---,پژمردن، هدر دادن,Ref=1.491
ἐφθίαθ',φθίω,v3plie---,زوال یافتن,Ref=1.251|SpaceAfter=No
φιλέουσά,φιλέω,v-sppafn-,دوست داشتن، مهر ورزیدن,Ref=1.196
φιλοκτεανώτατε,φιλοκτέανος,a-s---mvs,مال‌دوست‌,Ref=1.122
φίλην,φίλος,a-s---fa-,عزیز، مهربان,Ref=1.20|SpaceAfter=No
φλοιόν,φλοιός,n-s---ma-,پوست درخت، پوسته,Ref=1.237|SpaceAfter=No
Φοῖβος,Φοῖβος,n-s---mn-,فویبوس,Ref=1.43
φορέουσι,φορέω,v3ppia---,نگه داشتن، گرفتن، بردن,Ref=1.238
φόρμιγγος,φόρμιγξ,n-s---fg-,چنگ رومی، لیر,Ref=1.603
φράσαι,φράζω,v2samm---,ابراز داشتن، سنجیدن، تامل کردن,Ref=1.83
φρεσὶ,φρήν,n-p----d-,دل,Ref=1.55
φρονέων,φρονέω,v-sppamn-,اندیشیدن,Ref=1.73
φυήν,φυή,n-s---fa-,قامت,Ref=1.115|SpaceAfter=No
φύλλα,φύλλον,n-p---na-,برگ‌,Ref=1.234
φύσει,φύω,v3siia---,رویاندن، تولید کردن,Ref=1.235|SpaceAfter=No
φωνήσας,φωνέω,v-sapamn-,دهان گشودن، صدا کردن,Ref=1.201
χαίρῃς,χαίρω,v2spsa---,خرسند گشتن، خوش آمدن,Ref=1.158|SpaceAfter=No
χαῖται,χαίτη,n-p---fn-,زلف، یال,Ref=1.529
χαλεποί,χαλεπός,a-p---mn-,دشوار,Ref=1.546
χαλκοβατὲς,χαλκοβατής,a-s---na-,کف-مفرغین,Ref=1.426
χαλκὸς,χαλκός,n-s---mn-,مفرغ,Ref=1.236
χαλκοχιτώνων,χαλκοχίτων,a-p---mg-,مفرغ‌پوش,Ref=1.371
χαρίεντ',χαρίεις,a-s---md-,خشنود,Ref=1.39
χερσὶν,χείρ,n-p---fd-,دست,Ref=1.14
χέρηϊ,χερείων,a-s---mdc,پست‌تر، بدتر,Ref=1.80|SpaceAfter=No
χερνίψαντο,χερνίπτομαι,v3paie---,دستان را تطهیر کردن,Ref=1.449
χέων,χέω,v-sppamn-,ریختن,Ref=1.357|SpaceAfter=No
χθιζὸς,χθιζός,a-s---mn-,دیروز,Ref=1.424
χθονὶ,χθών,n-s---fd-,زمین,Ref=1.88
χόλον,χόλος,n-s---ma-,خشم,Ref=1.81
χολωθεὶς,χολόω,v-sappmn-,خشمگین کردن، خشمگین شدن,Ref=1.9
χραίσμῃ,χραισμέω,v3sasa---,حفظ کردن، دفاع کردن,Ref=1.28
χρειὼ,χρεώ,n-s---fn-,نیاز,Ref=1.341
χρὴ,χρή,v3spia---,بایستی، لازم است,Ref=1.216
χρυσέῳ,χρύσεος,a-s---nd-,زرین,Ref=1.15
Χρύσην,Χρύση,n-s---fa-,خروسه ,Ref=1.37
Χρυσηΐδος,Χρυσηίς,n-s---fg-,دخت‌خروسس,Ref=1.111
Χρύσης,Χρύσης,n-s---mn-,خروسس,Ref=1.450
χρυσόθρονος,χρυσόθρονος,a-s---fn-,زرین‌تاج,Ref=1.611
χωόμενος,χώομαι,v-sppemn-, خشم گرفتن,Ref=1.44
ψαμάθοις,ψάμαθος,n-p---fd-,ساحل,Ref=1.486|SpaceAfter=No
ψυχὰς,ψυχή,n-p---fa-,روان‌,Ref=1.3
ὦ,ὦ,i--------,ای,Ref=1.74
ὧδε,ὧδε,d--------,چنین,Ref=1.181|SpaceAfter=No
ὦσε,ὠθέω,v3saia---,فرو بردن، هل دادن,Ref=1.220
ὦχ',ὦκα,d--------,بی‌درنگ,Ref=1.402
Ὠκεανὸν,Ὠκεανός,n-s---ma-,اقیانوس,Ref=1.423
ὠκύμορος,ὠκύμορος,a-s---mn-,جوان‌مرگ,Ref=1.417
ὠκυπόροισι,ὠκύπορος,a-p---fd-,تیزرو,Ref=1.421
ὠκὺς,ὠκύς,a-s---mn-,تیز,Ref=1.489
ὠμοθέτησαν,ὠμοθετέω,v3paia---,تکه‌های گوشت خام را  بر ران‌های پیه‌پیچیده نهادن,Ref=1.461|SpaceAfter=No
ὤμοισιν,ὦμος,n-p---md-,دوش، شانه,Ref=1.45
ὥς,ὡς,c--------,چنین، تا، آنگاه,Ref=1.32
