ἄφαρ,ἄφαρ,d--------,آنگاه، بی‌درنگ,Ref=1.349
ἄφενος,ἄφενος,n-s---na-,مال، ثروت,Ref=1.171
ἀφίει,ἀφίημι,v3siia---,معزول داشتن,Ref=1.25|SpaceAfter=No
ἀφύξειν,ἀφύσσω,v--fna---,کشیدن، گرد آوردن,Ref=1.171|SpaceAfter=No
Ἀχαιΐδα,Ἀχαιΐς,a-s---fa-, آخایی,Ref=1.254
Ἀχαιοῖς,Ἀχαιός,a-p---md-,آخایی,Ref=1.2
ἀχνύμενος,ἀχεύω,v-spppmn-,رنجیدن، زاری کردن,Ref=1.103|SpaceAfter=No
Ἀχιλῆος,Ἀχιλλεύς,n-s---mg-,آخیلئوس ,Ref=1.1
ἄχος,ἄχος,n-s---nn-,درد,Ref=1.188
ἂψ,ἄψ,d--------,دوباره، باز,Ref=1.60
βαθεῖαν,βαθύς,a-s---fa-,ژرف,Ref=1.532
βῆ,βαίνω,v3saia---,رفتن، قدم گذاشتن,Ref=1.44
βάλλ',βάλλω,v3siia---,انداختن، زدن,Ref=1.52|SpaceAfter=No
βαρείας,βαρύς,a-p---fa-,سنگین,Ref=1.89
βασιλῆϊ,βασιλεύς,n-s---md-,شاه,Ref=1.9
βέλεσσιν,βέλος,n-p---nd-,تیر,Ref=1.42|SpaceAfter=No
βένθεσσιν,βένθος,n-p---nd-,عمق,Ref=1.358
βηλοῦ,βηλός,n-s---mg-,دروازه‌,Ref=1.591
βίην,βία,n-s---fa-,زور,Ref=1.404
βιοῖο,βιός,n-s---mg-,کمان,Ref=1.49|SpaceAfter=No
βουλεύσαντε,βουλεύω,v-dapamn-,طرح ریختن,Ref=1.531
βουλή,βουλή,n-s---fn-,اراده‌، نقشه,Ref=1.5|SpaceAfter=No
βουληφόρος,βουληφόρος,a-s---mn-,رای‌زن,Ref=1.144
βούλεται,βούλομαι,v3spse---,خواستن، قصد کردن,Ref=1.67
βοῦς,βοῦς,n-p---fa-,گله‌,Ref=1.154
βοῶπις,βοῶπις,a-s---fn-,ثور-چشم,Ref=1.551
Βριάρεων,Βριάρεως,n-s---ma-,بریارئوس,Ref=1.403
Βρισῆος,Βρισεύς,n-s---mg-,بریسئوس,Ref=1.392
Βρισηΐδα,Βρισηίς,n-s---fa-,دخت‌بریسئوس,Ref=1.184
βροτοί,βροτός,n-p---mn-,میرا,Ref=1.272
βωμόν,βωμός,n-s---ma-,محراب,Ref=1.448|SpaceAfter=No
βωτιανείρῃ,βωτιάνειρα,n-s---fd-,جوان‌پرور,Ref=1.155
γαίῃ,γαῖα,n-s---fd-,سرزمین,Ref=1.245
γαίων,γαίω,v-sppamn-,مسرور,Ref=1.405|SpaceAfter=No
γὰρ,γάρ,g--------,زیرا، از آن رو,Ref=1.9
γε,γε,g--------,حتی، به هر رو,Ref=1.60
γείνατο,γείνομαι,v3saim---,زادن,Ref=1.280
γέλως,γέλως,n-s---mn-,خنده‌,Ref=1.599
γενεαὶ,γενεά,n-p---fn-,نسل,Ref=1.250
γεραιὸς,γεραιός,a-s---mn-,پیر,Ref=1.35
γέρας,γέρας,n-s---na-,پیشکشی,Ref=1.118
γέρον,γέρων,n-s---mv-, پیرمرد,Ref=1.26
γηθήσαι,γηθέω,v3saoa---,خرسند شدن، به وجد آمدن,Ref=1.255
γῆρας,γῆρας,n-s---nn-,پیری‌,Ref=1.29
γένετ',γίγνομαι,v3saim---,بودن، شدن,Ref=1.49
ἔγνω,γιγνώσκω,v3saia---,فهمیدن، شناختن,Ref=1.199
γλαυκῶπις,γλαυκῶπις,a-s---fn-,درخشان‌چشم,Ref=1.206
γλυκὺς,γλυκύς,a-s---mn-,شیرین,Ref=1.610
