ve_ref,value,lemma,gloss (eng),tag
262.t2,mīn,min,my,nsm
262.t3,fæder,fæder,father,ns
262.t4,folcum,folc,people,dp
262.t5,"gecȳþed,",cyðan,make known,pp
263.t1,æþele,æþele,noble,nsm
263.t2,"ordfruma,",ord-fruma,leader,ns
263.t3,Ecgþēow,Ecgþeow,Ecgtheow,ns
263.t4,hāten;,hatan,call,pp
264.t1,gebād,gebidan,experience,p3s
264.t2,wintra,winter,winter,gp
264.t3,"worn,",worn,a great number,as
264.t4,ǣr,ær,before,indeclinable
264.t5,hē,he,he,nsm
264.t6,on,on,in,indeclinable
264.t7,weg,weg,way (on weg=away),as
264.t8,"hwurfe,",hweorfan,go,pc3s
265.t1,gamol,gamol,old,nsm
265.t2,of,of,from,indeclinable
265.t3,geardum;,geard,house,dp
265.t4,hine,he,he,asm
265.t5,gearwe,gearwe,well,indeclinable
265.t6,geman,gemunan,remember,pr3s
266.t1,witena,wita,wise man,gp
266.t2,wēlhwylc,welhwylc,everyone,nsm
266.t3,wīde,wide,widely,indeclinable
266.t4,geond,geond,throughout,indeclinable
266.t5,eorþan.,eorðe,earth,as
267.t1,Wē,we,we,np
267.t2,þurh,þurh,with,indeclinable
267.t3,holdne,hold,loyal,asm
267.t4,hige,hige,heart,as
267.t5,hlāford,hlaford,lord,as
267.t6,"þīnne,",þin,your,asm
268.t1,sunu,sunu,son,as
268.t2,Healfdenes,Healfdene,Healfdene,gs
268.t3,sēcean,secan,seek out,i
268.t4,"cwōmon,",cuman,come,p1p
269.t1,lēodgebyrgean.,leod-gebyrga,people's protector,as
269.t2,Wes,wesan,be,im2s
269.t3,þū,þu,you,ns
269.t4,ūs,we,we,dp
269.t5,lārena,lar,advice,gp
269.t6,gōd.,god,good,nsm
270.t1,Habbað,habban,have,pr1p
270.t2,wē,we,we,np
270.t3,tō,to,for,indeclinable
270.t4,þǣm,se,the,dsm
270.t5,mǣran,mære,famous,dsm
270.t6,micel,micel,great,asn
270.t7,ǣrende,ærende,message,as
271.t1,Deniga,Dene,Danes,gp
271.t2,frean.,frea,lord,ds
271.t3,Ne,ne,not,indeclinable
271.t4,sceal,sculan,must,pr3s
271.t5,þǣr,þær,there,indeclinable
271.t6,dyrne,dyrne,concealed,nsn
271.t7,sum,sum,a certain thing,nsn
272.t1,"wesan,",wesan,be,i
272.t2,þæs,þæt,what (=as),gsn
272.t3,ic,ic,I,ns
272.t4,wēne:,wenan,expect,pr1s
272.t5,þū,þu,you,ns
272.t6,"wāst,",witan,know,pr2s
272.t7,gif,gif,if,indeclinable
272.t8,hit,hit,it,nsn
272.t9,is,beon,be,pr3s
273.t1,swā,swa,as,indeclinable
273.t2,wē,we,we,np
273.t3,sōþlīce,soðlice,truly,indeclinable
273.t4,secgan,secgan,say,i
273.t5,"hȳrdon,",hyran,hear,p1p
274.t1,þæt,þæt,that,indeclinable
274.t2,mid,mid,among,indeclinable
274.t3,Scyldingum,Scyldingas,Scyldings,dp
274.t4,sceaðona,sceaða,enemy,gp
274.t5,ic,ic,I,ns
274.t6,nāt,ne witan,know not,pr1s
274.t7,"hwylc,",hwylc,which,nsm
275.t1,dēogol,deogol,mysterious,nsm
275.t2,dǣdhata,dæd-hata,persecutor,ns
275.t3,deorcum,deorc,dark,dpf
275.t4,nihtum,niht,night,dp
276.t1,ēaweð,ywan,manifest,pr3s
276.t2,þurh,þurh,through,indeclinable
276.t3,egsan,egesa,terror,as
276.t4,uncūðne,uncuð,unheard of,asm
276.t5,"nīð,",nið,hostility,as
277.t1,hȳnðu,hynðu,humiliation,as
277.t2,ond,ond,and,indeclinable
277.t3,hrāfyl.,hræw-fyll,slaughter,as
277.t4,Ic,ic,I,ns
277.t5,þæs,þæt,that,gsn
277.t6,Hrōðgār,Hroðgar,Hrothgar,as
277.t7,mæg,magan,can,pr1s
278.t1,þurh,þurh,with,indeclinable
278.t2,rūmne,rum,generous,asm
278.t3,sefan,sefa,mind,as
278.t4,rǣd,ræd,advice,as
278.t5,gelǣran,gelæran,teach,i
279.t1,hū,hu,how,indeclinable
279.t2,hē,he,he,nsm
279.t3,frōd,frod,wise,nsm
279.t4,ond,ond,and,indeclinable
279.t5,gōd,god,good,nsm
279.t6,fēond,feond,enemy,as
279.t7,oferswȳðeþ,oferswyðan,overcome,pr3s
280.t1,gyf,gif,if,indeclinable
280.t2,him,he,he,dsm
280.t3,edwenden,edwenden,reversal,ns
280.t4,ǣfre,æfre,ever,indeclinable
280.t5,scolde,sculan,be to,pc3s
281.t1,bealuwa,bealo,evil,gp
281.t2,"bisigu,",bysigu,affliction,gs
281.t3,bōt,bot,remedy,ns
281.t4,eft,eft,afterwards,indeclinable
281.t5,cuman,cuman,come,i
282.t1,ond,ond,and,indeclinable
282.t2,þā,se,the,npm
282.t3,cearwylmas,cear-wylm,seething of sorrow,np
282.t4,cōlran,col,cool,npmc
282.t5,wurðaþ;,weorðan,become,pr3p
283.t1,oððe,oððe,or,indeclinable
283.t2,ā,a,forever,indeclinable
283.t3,syþðan,siððan,afterwards,indeclinable
283.t4,"earfoðþrāge,",earfoð-þrag,time of anguish,as
284.t1,þrēanȳd,þrea-nyd,distress,as
284.t2,þolað,þolian,endure,pr3s
284.t3,þenden,þenden,while,indeclinable
284.t4,þǣr,þær,there,indeclinable
284.t5,wunað,wunian,remain,pr3s
285.t1,on,on,in,indeclinable
285.t2,hēahstede,heah-stede,high place,ds
285.t3,hūsa,hus,house,gp
285.t4,sēlest.’,selest,best,nsns
286.t1,Weard,weard,watchman,ns
286.t2,maþelode,maþelian,speak,p3s
286.t3,ðǣr,þær,where,indeclinable
286.t4,on,on,on,indeclinable
286.t5,wicge,wicg,horse,ds
286.t6,"sæt,",sittan,sit,p3s
287.t1,ombeht,ombeht,officer,ns
287.t2,unforht:,unforht,fearless,nsm
287.t3,‘Ǣġhwæþres,æghwæðer,each of two,gsn
287.t4,sceal,sculan,must,pr3s
288.t1,scearp,scearp,shrewd,nsm
288.t2,scyldwiga,scyld-wiga,shield-warrior,ns
288.t3,gescād,gescad,difference,as
288.t4,"witan,",witan,know,i
289.t1,worda,word,word,gp
289.t2,ond,ond,and,indeclinable
289.t3,"worca,",weorc,deed,gp
289.t4,sē,se,he,nsm
289.t5,þe,þe,who,in
289.t6,wēl,wel,well,indeclinable
289.t7,þenceð.,þencan,think,pr3s
290.t1,Ic,ic,I,ns
290.t2,þæt,þæt,that,asn
290.t3,"gehȳre,",gehyran,hear,pr1s
290.t4,þæt,þæt,that,indeclinable
290.t5,þis,þis,this,nsn
290.t6,is,beon,be,pr3s
290.t7,hold,hold,loyal,nsn
290.t8,weorod,werod,host,ns
291.t1,frēan,frea,lord,ds
291.t2,Scyldinga.,Scyldingas,Scyldings,gp
291.t3,Gewītaþ,gewitan,go,im2p
291.t4,forð,forð,forth,indeclinable
291.t5,beran,beran,bear,i
292.t1,wǣpen,wæpen,weapon,ap
292.t2,ond,ond,and,indeclinable
292.t3,gewǣdu;,gewæde,armour,ap
292.t4,ic,ic,I,ns
292.t5,ēow,ge,you,dp
292.t6,wīsige.,wisian,guide,pr1s
293.t1,Swylce,swylce,likewise,indeclinable
293.t2,ic,ic,I,ns
293.t3,maguþegnas,mago-þegn,young retainer,ap
293.t4,mīne,min,my,apm
293.t5,hāte,hatan,order,pr1s
294.t1,wið,wið,against,indeclinable
294.t2,fēonda,feond,enemy,gp
294.t3,gehwone,gehwa,each,asm
294.t4,flotan,flota,boat,as
294.t5,"ēowerne,",eower,your,asm
295.t1,nīwtyrwydne,niw-tyrwed,new-tarred,asm
295.t2,nacan,naca,ship,as
295.t3,on,on,on,indeclinable
295.t4,sande,sand,sand,ds
296.t1,ārum,ar,honour,dp
296.t2,"healdan,",healdan,watch,i
296.t3,oþ,oð þæt,until,indeclinable
296.t4,ðæt,eft,back,indeclinable
296.t5,eft,beran,carry,pr3s
297.t1,ofer,ofer,over,indeclinable
297.t2,lagustrēamas,lagu-stream,sea-current,ap
297.t3,lēofne,leof,beloved,asm
297.t4,mannan,monna,man,as
298.t1,wudu,wudu,wood,ns
298.t2,wundenhals,wunden-hals,with curved prow,nsm
298.t3,tō,to,to,indeclinable
298.t4,"Wedermearce,",Weder-mearc,land of the Weders,ds
299.t1,gōdfremmendra,god-fremmend,one doing good,gp
299.t2,swylcum,swylc,which (one),dsm
299.t3,gifeþe,gifeðe,granted,nsn
299.t4,bið,beon,be,pr3s
300.t1,þæt,þæt,that,indeclinable
300.t2,þone,se,the,asm
300.t3,hilderǣs,hilde-ræs,onslaught of battle,as
300.t4,hāl,hal,unharmed,nsm
300.t5,gedīgeð.’,gedigan,survive,pr3s
301.t1,Gewiton,gewitan,go,p3p
301.t2,him,hie,themselves,dpm
301.t3,þā,þa,then,indeclinable
301.t4,fēran;,feran,go,i
301.t5,flota,flota,ship,ns
301.t6,stille,stille,still,nsm
301.t7,"bād,",bidan,remain,p3s
302.t1,seomode,seomian,undulate,p3s
302.t2,on,on,at,indeclinable
302.t3,sāle,sal,rope,ds
302.t4,sīdfæþmed,sid-fæþmed,broad-bosomed,nsn
302.t5,"scip,",scip,ship,ns
303.t1,on,on,at,indeclinable
303.t2,ancre,ancor,anchor,ds
303.t3,fæst;,fæst,fast,nsn
303.t4,eoforlīc,eofer-lic,boar-image,np
303.t5,scionon,scinan,shine,p3p
304.t1,ofer,ofer,over,indeclinable
304.t2,hlēorbergan,hleor-beorg,cheek-guard,dp
304.t3,gehroden,gehroden,adorned,npn
304.t4,"golde,",gold,gold,ds
305.t1,fāh,fah,gleaming,npn
305.t2,ond,ond,and,indeclinable
305.t3,fȳrheard;,fyr-heard,fire-hardened,npn
305.t4,ferhwearde,feorh-weard,safe conduct,as
305.t5,hēold,healdan,provide,p3s
306.t1,gūþmōd,guð-mod,war-minded,nsm
306.t2,grīmmon.,grim-monn,helmeted man,ns
306.t3,Guman,guma,man,np
306.t4,"ōnetton,",onettan,hasten,p3p
307.t1,sigon,sigan,march,p3p
307.t2,"ætsomne,",ætsomne,together,indeclinable
307.t3,oþ,oð þæt,until,indeclinable
307.t4,þæt,hie,they,npm
307.t5,hȳ,sæl,hall,as
307.t6,sæl,timbran,build (=timbered),ppasn
308.t1,geatolīc,geatolic,splendid,asn
308.t2,ond,ond,and,indeclinable
308.t3,goldfāh,gold-fah,adorned with gold,asn
308.t4,ongyton,ongitan,see,i
308.t5,mihton;,magan,could,p3p
309.t1,þæt,þæt,it,nsn
309.t2,wæs,wesan,be,p3s
309.t3,foremǣrost,fore-mære,famous,nsms
309.t4,foldbūendum,fold-buend,earth-dweller,dp
310.t1,receda,reced,hall,gp
310.t2,under,under,under,indeclinable
310.t3,"roderum,",rodor,sky,dp
310.t4,on,on,in,indeclinable
310.t5,þǣm,se,which,dsm
310.t6,se,se,the,nsm
310.t7,rīca,rice,powerful,nsm
310.t8,bād;,bidan,stay,p3s
311.t1,līxte,lixan,shine,p3s
311.t2,se,se,the,nsm
311.t3,lēoma,leoma,light,ns
311.t4,ofer,ofer,over,indeclinable
311.t5,landa,land,land,gp
311.t6,fela.,fela,many,in
312.t1,Him,hie,they,dpm
312.t2,þā,þa,then,indeclinable
312.t3,hildedēor,hilde-deor,brave in battle,nsm
312.t4,hof,hof,dwelling,as
312.t5,mōdigra,modig,courageous,gpm
313.t1,torht,torht,resplendent,asn
313.t2,"getǣhte,",getæcan,point out,p3s
313.t3,þæt,þæt,so that,indeclinable
313.t4,hīe,hie,they,npm
313.t5,him,hit,it,dsn
313.t6,tō,to,to,indeclinable
313.t7,mihton,magan,could,p3p
314.t1,gegnum,gegnum,straight,indeclinable
314.t2,gangan;,gangan,go,i
314.t3,gūðbeorna,guð-beorn,warrior,gp
314.t4,sum,sum,one (=the),nsm
315.t1,wicg,wicg,horse,as
315.t2,"gewende,",gewendan,turn,p3s
315.t3,word,word,word,as
315.t4,æfter,æfter,then,indeclinable
315.t5,cwæð:,cweðan,say,p3s
316.t1,Mǣl,mæl,time,ns
316.t2,is,beon,be,pr3s
316.t3,mē,ic,I,ds
316.t4,tō,to,to,indeclinable
316.t5,fēran;,feran,go,i
316.t6,fæder,fæder,father,ns
316.t7,alwalda,alwalda,omnipotent,nsm
317.t1,mid,mid,with,indeclinable
317.t2,ārstafum,ar-stafas,favour,dp
317.t3,ēowic,ge,you,ap
317.t4,gehealde,gehealdan,guard,prc3s
318.t1,sīða,sið,exploit,gp
318.t2,gesunde.,gesund,safe,apm
318.t3,Ic,ic,I,ns
318.t4,tō,to,to,indeclinable
318.t5,sǣ,sæ,sea,ds
318.t6,"wille,",willan,will (verb of motion underst.),pr1s
319.t1,wið,wið,against,indeclinable
319.t2,wrāð,wrað,enemy,asn
319.t3,werod,werod,host,as
319.t4,wearde,weard,watch,as
319.t5,healdan.’,healdan,keep,i
320.t1,Strǣt,stræt,street,ns
320.t2,wæs,wesan,be,p3s
320.t3,"stānfāh,",stan-fah,embellished with stones,nsf
320.t4,stīg,stig,path,ns
320.t5,wīsode,wisian,lead,p3s
321.t1,gumum,guma,man,dp
321.t2,ætgædere.,ætgædere,together,indeclinable
321.t3,Gūðbyrne,guð-byrne,war-corslet,ns
321.t4,scān,scinan,shine,p3s
322.t1,heard,heard,hard,nsf
322.t2,hondlocen;,hand-locen,linked by hand,nsf
322.t3,hringīren,hring-iren,iron of rings,ns
322.t4,scīr,scir,bright,nsn
323.t1,song,singan,sing,p3s
323.t2,in,in,in,indeclinable
323.t3,searwum.,searo,war-gear,dp
323.t4,Þā,þa,when,indeclinable
323.t5,hīe,hie,they,npm
323.t6,tō,to,to,indeclinable
323.t7,sele,sele,hall,ds
323.t8,furðum,furþum,first,indeclinable
324.t1,in,in,in,indeclinable
324.t2,hyra,hie,their,gpm
324.t3,gryregeatwum,gryre-geatwe,fearsome equipment,dp
324.t4,gangan,gangan,go,i
324.t5,"cwōmon,",cuman,come,p3p
325.t1,setton,settan,set,p3p
325.t2,sǣmēþe,sæ-meðe,sea-weary,npm
325.t3,sīde,sid,broad,apm
325.t4,"scyldas,",scyld,shield,ap
326.t1,rondas,rond,boss,ap
326.t2,reġnhearde,regn-heard,wonderfully strong,apm
326.t3,wið,wið,against,indeclinable
326.t4,þæs,se,the,gsm
326.t5,recedes,reced,hall,gs
326.t6,weal;,weall,wall,as
327.t1,bugon,bugan,bend,p3p
327.t2,þā,þa,then,indeclinable
327.t3,tō,to,on,indeclinable
327.t4,bence.,benc,bench,ds
327.t5,Byrnan,byrne,mail-coat,np
327.t6,"hringdon,",hringan,resound,p3p
328.t1,gūðsearo,guð-searo,armour,np
328.t2,gumena;,guma,man,gp
328.t3,gāras,gar,spear,np
328.t4,"stōdon,",standan,stand,p3p
329.t1,sǣmanna,sæ-monn,seaman,gp
329.t2,searo,searo,war-gear,np
329.t3,samod,samod ætgædere,all together,indeclinable
330.t1,æscholt,æsc-holt,ash forest,ns
330.t2,ufan,ufan,from above,indeclinable
330.t3,grǣg;,græg,grey,nsn
330.t4,wæs,wesan,be,p3s
330.t5,se,se,the,nsm
330.t6,īrenþrēat,iren-þreat,ironclad troop,ns
331.t1,wǣpnum,wæpen,weapon,dp
331.t2,gewurþad.,weorðian,honour,pp
331.t3,Þā,þa,then,indeclinable
331.t4,ðǣr,þær,there,indeclinable
331.t5,wlonc,wlonc,proud,nsm
331.t6,hæleð,hæle,man,ns
332.t1,ōretmecgas,oret-mæcg,warrior,ap
332.t2,æfter,æfter,about,indeclinable
332.t3,æþelum,æþelu,lineage,dp
332.t4,frægn:,frignan,ask,p3s
333.t1,‘Hwanon,hwanan,whence,indeclinable
333.t2,ferigeað,ferian,carry,pr2p
333.t3,gē,ge,you,np
333.t4,fǣtte,fæted,plated,apm
333.t5,"scyldas,",scyld,shield,ap
334.t1,grǣge,græg,grey,apf
334.t2,"syrcan,",syrce,mail-coat,ap
334.t3,ond,ond,and,indeclinable
334.t4,"grīmhelmas,",grim-helm,mask-helmet,ap
335.t1,heresceafta,here-sceaft,spear,gp
335.t2,hēap?,heap,troop,as
335.t3,Ic,ic,I,ns
335.t4,eom,beon,be,pr1s
335.t5,Hrōðgāres,Hroðgar,Hrothgar,gs
336.t1,ār,ar,messenger,ns
336.t2,ond,ond,and,indeclinable
336.t3,ombiht.,ombeht,officer,ns
336.t4,Ne,ne,not,indeclinable
336.t5,seah,seon,see,p1s
336.t6,ic,ic,I,ns
336.t7,elþēodige,el-þeodig,foreign,apm
337.t1,þus,þus,so,indeclinable
337.t2,manige,monig,many,apm
337.t3,men,monn,man,ap
337.t4,mōdiglīcran.,modiglic,brave-looking,apmc
338.t1,Wēn’,wenan,expect,pr1s
338.t2,iċ,ic,I,ns
338.t3,þæt,þæt,that,indeclinable
338.t4,gē,ge,you,np
338.t5,for,for,for,indeclinable
338.t6,"wlenco,",wlenco,daring,ds
338.t7,nalles,nealles,not at all,indeclinable
338.t8,for,for,for,indeclinable
338.t9,wræcsīðum,wræc-sið,exile,dp
339.t1,ac,ac,but,indeclinable
339.t2,for,for,for,indeclinable
339.t3,"higeþrymmum,",hige-þrym,greatness of heart,dp
339.t4,Hrōðgār,Hroðgar,Hrothgar,as
339.t5,sōhton.’,secan,seek out,p2p
340.t1,Him,he,he,dsm
340.t2,þā,þa,then,indeclinable
340.t3,ellenrōf,ellen-rof,brave,nsm
340.t4,"andswarode,",andswarian,answer,p3s
341.t1,wlanc,wlonc,proud,nsm
341.t2,Wedera,Wederas,Weders,gp
341.t3,"lēod,",leod,man,ns
341.t4,word,word,word,as
341.t5,æfter,æfter,then,indeclinable
341.t6,spræc,sprecan,say,p3s
342.t1,heard,heard,strong,nsm
342.t2,under,under,under,indeclinable
342.t3,helme:,helm,helmet,ds
342.t4,‘Wē,we,we,np
342.t5,synt,beon,be,pr1p
342.t6,Higelāces,Hygelac,Hygelac,gs
343.t1,bēodgenēatas;,beod-geneat,table-companion,np
343.t2,Bēowulf,Beowulf,Beowulf,ns
343.t3,is,beon,be,pr3s
343.t4,mīn,min,my,nsm
343.t5,nama.,nama,name,ns
344.t1,Wille,willan,wish,pr1s
344.t2,ic,ic,I,ns
344.t3,āsecgan,asecgan,tell,i
344.t4,sunu,sunu,son,ds
344.t5,"Healfdenes,",Healfdene,Healfdene,gs
345.t1,mǣrum,mære,famous,dsm
345.t2,þēodne,þeoden,lord,ds
345.t3,mīn,min,my,asn
345.t4,"ǣrende,",ærende,message,as
346.t1,aldre,ealdor,chief,ds
346.t2,"þīnum,",þin,your,dsm
346.t3,gif,gif,if,indeclinable
346.t4,hē,he,he,nsm
346.t5,ūs,we,we,dp
346.t6,geunnan,geunnan,grant,i
346.t7,wile,willan,will,pr3s
347.t1,þæt,þæt,that,indeclinable
347.t2,wē,we,we,np
347.t3,hine,he,he,asm
347.t4,swā,swa,so,indeclinable
347.t5,gōdne,god,good,asm
347.t6,grētan,gretan,greet,i
347.t7,mōton.’,motan,may,pr1p
348.t1,Wulfgār,Wulfgar,Wulfgar,ns
348.t2,maþelode;,maþelian,speak,p3s
348.t3,þæt,þæt,that,nsn
348.t4,wæs,wesan,be,p3s
348.t5,Wendla,Wendlas,Vandals,gp
348.t6,lēod;,leod,man,ns
349.t1,wæs,wesan,be,p3s
349.t2,his,he,his,gsm
349.t3,mōdsefa,mod-sefa,character,ns
349.t4,manegum,monig,many,dpm
349.t5,"gecȳðed,",cyðan,make known,pp
350.t1,wīg,wig,prowess,ns
350.t2,ond,ond,and,indeclinable
350.t3,wīsdōm:,wisdom,wisdom,ns
350.t4,‘Ic,ic,I,ns
350.t5,þæs,þæt,that,gsn
350.t6,wine,wine,friend,as
350.t7,"Deniga,",Dene,Danes,gp
351.t1,frēan,frea,lord,as
351.t2,Scildinga,Scyldingas,Scyldings,gp
351.t3,frīnan,frignan,ask,i
351.t4,"wille,",willan,will,pr1s
352.t1,bēaga,beag,ring,gp
352.t2,"bryttan,",brytta,dispenser,as
352.t3,swā,swa,as,indeclinable
352.t4,þū,þu,you,ns
352.t5,bēna,bena,petitioner,ns
352.t6,"eart,",beon,be,pr2s
353.t1,þēoden,þeoden,lord,as
353.t2,mǣrne,mære,famous,asm
353.t3,ymb,ymb,about,indeclinable
353.t4,þīnne,þin,your,asm
353.t5,"sīð,",sið,undertaking,as
354.t1,ond,ond,and,indeclinable
354.t2,þē,þu,you,ds
354.t3,þā,seo,the,asf
354.t4,andsware,andswaru,answer,as
354.t5,ǣdre,ædre,swiftly,indeclinable
354.t6,gecȳðan,gecyðan,make known,i
355.t1,ðē,þe,which,in
355.t2,mē,ic,I,ds
355.t3,se,se,the,nsm
355.t4,gōda,god,good,nsm
355.t5,āgifan,agifan,give,i
355.t6,þenceð.’,þencan,intend,pr3s
356.t1,Hwearf,hweorfan,turn,p3s
356.t2,þā,þa,then,indeclinable
356.t3,hrædlīce,hrædlice,quickly,indeclinable
356.t4,þǣr,þær,where,indeclinable
356.t5,Hrōðgār,Hroðgar,Hrothgar,ns
356.t6,sæt,sittan,sit,p3s
357.t1,eald,eald,old,nsm
357.t2,ond,ond,and,indeclinable
357.t3,anhār,anhar,hoary,nsm
357.t4,mid,mid,with,indeclinable
357.t5,his,he,his,gsm
357.t6,eorla,eorl,warrior,gp
357.t7,gedriht;,gedryht,retinue,as
358.t1,ēode,gan,go,p3s
358.t2,"ellenrōf,",ellen-rof,brave,nsm
358.t3,þæt,þæt,until,indeclinable
358.t4,hē,he,he,nsm
358.t5,for,for,in front of,indeclinable
358.t6,eaxlum,eaxl,shoulder,dp
358.t7,gestōd,gestandan,take one's stand,p3s
359.t1,Deniga,Dene,Danes,gp
359.t2,frean;,frea,lord,ds
359.t3,cūþe,cunnan,know,p3s
359.t4,hē,he,he,nsm
359.t5,duguðe,duguð,retinue,gs
359.t6,þēaw.,þeaw,custom,as
360.t1,Wulfgār,Wulfgar,Wulfgar,ns
360.t2,maðelode,maþelian,speak,p3s
360.t3,tō,to,to,indeclinable
360.t4,his,he,his,gsm
360.t5,winedrihtne:,wine-dryhten,lord and friend,ds
361.t1,‘Hēr,her,here,indeclinable
361.t2,syndon,beon,be,pr3p
361.t3,"geferede,",ferian,carry,ppnpm
361.t4,feorran,feorran,from afar,indeclinable
361.t5,cumene,cuman,come,ppnpm
362.t1,ofer,ofer,over,indeclinable
362.t2,geofenes,geofon,sea,gs
362.t3,begang,begang,expanse,as
362.t4,Gēata,Geatas,Geats,gp
362.t5,lēode;,leod,man,np
363.t1,þone,se,the,asm
363.t2,yldestan,eald,eldest (=leader),asms
363.t3,ōretmecgas,oret-mæcg,warrior,np
364.t1,Bēowulf,Beowulf,Beowulf,as
364.t2,nemnað.,nemnan,call,pr3p
364.t3,Hȳ,hie,they,npm
364.t4,bēnan,bena,petitioner,np
364.t5,synt,beon,be,pr3p
365.t1,þæt,þæt,that,indeclinable
365.t2,"hīe,",hie,they,npm
365.t3,þēoden,þeoden,lord,ns
365.t4,"mīn,",min,my,nsm
365.t5,wið,wið,with,indeclinable
365.t6,þē,þu,you,ds
365.t7,mōton,motan,may,pr3p
366.t1,wordum,word,word,dp
366.t2,wrixlan.,wrixlan,exchange,i
366.t3,Nō,no,not at all,indeclinable
366.t4,ðū,þu,you,ns
366.t5,him,hie,they,dpm
366.t6,wearne,wearn,refusal,as
366.t7,getēoh,geteon,bestow,im2s
367.t1,ðīnra,þin,your,gpm
367.t2,"gegncwida,",gegn-cwide,answer,gp
367.t3,glædman,glæd-monn,gracious,nsm
367.t4,Hrōðgār.,Hroðgar,Hrothgar,ns
368.t1,Hȳ,hie,they,npm
368.t2,on,on,in,indeclinable
368.t3,wīggetāwum,wig-getawa,war-gear,dp
368.t4,wyrðe,wyrðe,worthy,npm
368.t5,þinceað,þyncan,seem,pr3p
369.t1,eorla,eorl,warrior,gp
369.t2,geæhtlan;,geæhtle,respect,gs
369.t3,hūru,huru,indeed,indeclinable
369.t4,se,se,the,nsm
369.t5,aldor,ealdor,chief,ns
369.t6,"dēah,",dugan,be good,pr3s
370.t1,sē,se,who,nsm
370.t2,þǣm,se,the,dpm
370.t3,heaðorincum,heaþo-rinc,warrior,dp
370.t4,hider,hider,hither,indeclinable
370.t5,wīsade.’,wisian,guide,p3s
371.t1,Hrōðgār,Hroðgar,Hrothgar,ns
371.t2,"maþelode,",maþelian,speak,p3s
371.t3,helm,helm,protector,ns
371.t4,Scyldinga:,Scyldingas,Scyldings,gp
372.t1,‘Iċ,ic,I,ns
372.t2,hine,he,he,asm
372.t3,cūðe,cunnan,know,p1s
372.t4,cnihtwesende;,cniht-wesende,being a boy,asm
373.t1,wæs,wesan,be,p3s
373.t2,his,he,his,gsm
373.t3,ealdfæder,eald-fæder,late father,ns
373.t4,Ecgþēo,Ecgþeow,Ecgtheow,ns
373.t5,"hāten,",hatan,call,pp
374.t1,ðǣm,se,whom,dsm
374.t2,tō,to,to,indeclinable
374.t3,hām,ham,home (to ham=in marriage),ds
374.t4,forgeaf,forgifan,grant,p3s
374.t5,Hrēþel,Hreþel,Hrethel,ns
374.t6,Gēata,Geatas,Geats,gp
375.t1,āngan,anga,only,asf
375.t2,dohtor;,dohtor,daughter,as
375.t3,is,beon,be,pr3s
375.t4,his,he,his,gsm
375.t5,eafora,eafora,son,ns
375.t6,nū,nu,now,indeclinable
376.t1,heard,heard,strong,nsm
376.t2,hēr,her,here,indeclinable
376.t3,"cumen,",cuman,come,pp
376.t4,sōhte,secan,seek out,p3s
376.t5,holdne,hold,well disposed,asm
376.t6,wine.,wine,friend,as
377.t1,Ðonne,þonne,further,indeclinable
377.t2,sægdon,secgan,say,p3p
377.t3,þæt,þæt,that,asn
377.t4,"sǣlīþende,",sæ-liðend,seafarer,np
378.t1,þā,se,that,npm
378.t2,ðe,þe,who,in
378.t3,gifsceattas,gif-sceatt,gift,ap
378.t4,Gēata,Geatas,(for) Geats,gp
378.t5,fyredon,ferian,carry,p3p
379.t1,þyder,þyder,thither,indeclinable
379.t2,tō,to,as,indeclinable
379.t3,"þance,",þanc,token of esteem,ds
379.t4,þæt,þæt,that,indeclinable
379.t5,hē,he,he,nsm
379.t6,þrītiġes,þritig,thirty,gsm
380.t1,manna,monn,man,gp
380.t2,mægencræft,mægen-cræft,strength,as
380.t3,on,on,in,indeclinable
380.t4,his,he,his,gsm
380.t5,mundgripe,mund-gripe,handgrip,ds
381.t1,heaþorōf,heaþo-rof,brave in battle,nsm
381.t2,hæbbe.,habban,have,prc3s
381.t3,Hine,he,he,asm
381.t4,hālig,halig,holy,nsm
381.t5,God,God,God,ns
382.t1,for,for,for,indeclinable
382.t2,ārstafum,ar-stafas,favour,dp
382.t3,ūs,we,we,dp
382.t4,"onsende,",onsendan,send,p3s
383.t1,tō,to,to,indeclinable
383.t2,"West-Denum,",West-Dene,West-Danes,dp
383.t3,þæs,þæt,what (=as),gsn
383.t4,ic,ic,I,ns
383.t5,wēn,wen,expectation,as
383.t6,"hæbbe,",habban,have,pr1s
384.t1,wið,wið,against,indeclinable
384.t2,Grendles,Grendel,Grendel,gs
384.t3,gryre.,gryre,horror,ds
384.t4,Ic,ic,I,ns
384.t5,þǣm,se,that,dsm
384.t6,gōdan,god,good,dsm
384.t7,sceal,sculan,(future),pr1s
385.t1,for,for,for,indeclinable
385.t2,his,he,his,gsm
385.t3,mōdþræce,mod-þracu,daring,ds
385.t4,mādmas,maððum,treasure,ap
385.t5,bēodan.,beodan,offer,i
386.t1,Bēo,beon,be,im2s
386.t2,ðū,þu,you,ns
386.t3,on,on,in,indeclinable
386.t4,"ofeste,",ofost,haste,ds
386.t5,hāt,hatan,order,im2s
386.t6,in,in,in,indeclinable
386.t7,gân,gan,go,i
387.t1,sēon,seon,see,i
387.t2,sibbegedriht,sibbe-gedryht,retinue of kinsmen,as
387.t3,samod,samod ætgædere,all together,indeclinable
388.t1,gesaga,gesecgan,say,im2s
