named_entity_urn,ref,token_position
urn:cite2:exploreHomer:place.v1:place33,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,266
urn:cite2:exploreHomer:place.v1:place34,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,149
urn:cite2:exploreHomer:place.v1:place35,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,157
urn:cite2:hmt:place.v1:place360,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,54
urn:cite2:exploreHomer:place.v1:place36,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,15
urn:cite2:exploreHomer:place.v1:place37,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,171
urn:cite2:hmt:place.v1:place199,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,107
urn:cite2:hmt:place.v1:place49,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,223
urn:cite2:exploreHomer:place.v1:place38,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,240
urn:cite2:exploreHomer:place.v1:place39,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,44
urn:cite2:hmt:place.v1:place237,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,148
urn:cite2:hmt:place.v1:place48,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,142
urn:cite2:hmt:place.v1:place400,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.800,349
urn:cite2:hmt:place.v1:place154,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,136
urn:cite2:hmt:place.v1:place154,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,189
urn:cite2:exploreHomer:place.v1:place40,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,288
urn:cite2:hmt:place.v1:place384,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,342
urn:cite2:exploreHomer:place.v1:place41,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,121
urn:cite2:hmt:place.v1:place310,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,211
urn:cite2:hmt:place.v1:place336,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,92
urn:cite2:hmt:place.v1:place132,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,280
urn:cite2:exploreHomer:place.v1:place42,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,60
urn:cite2:hmt:place.v1:place107,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,7
urn:cite2:hmt:place.v1:place383,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,308
urn:cite2:hmt:place.v1:place395,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.760,77
urn:cite2:hmt:place.v1:place125,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.800,351
urn:cite2:exploreHomer:place.v1:place43,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,170
urn:cite2:exploreHomer:place.v1:place44,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,166
urn:cite2:hmt:place.v1:place178,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,159
urn:cite2:hmt:place.v1:place152,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,21
urn:cite2:hmt:place.v1:place152,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,29
urn:cite2:exploreHomer:place.v1:place45,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,83
urn:cite2:exploreHomer:place.v1:place45,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,93
urn:cite2:hmt:place.v1:place290,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,219
urn:cite2:hmt:place.v1:place183,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,203
urn:cite2:exploreHomer:place.v1:place46,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,90
urn:cite2:hmt:place.v1:place27,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,162
urn:cite2:hmt:place.v1:place350,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,77
urn:cite2:exploreHomer:place.v1:place47,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,136
urn:cite2:exploreHomer:place.v1:place48,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,155
urn:cite2:hmt:place.v1:place349,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,74
urn:cite2:hmt:place.v1:place364,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,77
urn:cite2:hmt:place.v1:place385,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,344
urn:cite2:exploreHomer:place.v1:place49,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,14
urn:cite2:hmt:place.v1:place381,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,304
urn:cite2:hmt:place.v1:place381,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,305
urn:cite2:exploreHomer:place.v1:place50,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,151
urn:cite2:exploreHomer:place.v1:place51,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,222
urn:cite2:exploreHomer:place.v1:place51,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,223
urn:cite2:hmt:place.v1:place304,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,186
urn:cite2:hmt:place.v1:place306,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,195
urn:cite2:exploreHomer:place.v1:place52,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,108
urn:cite2:hmt:place.v1:place155,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,143
urn:cite2:hmt:place.v1:place50,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,80
urn:cite2:exploreHomer:place.v1:place53,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,113
urn:cite2:exploreHomer:place.v1:place53,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,177
urn:cite2:exploreHomer:place.v1:place54,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,139
urn:cite2:exploreHomer:place.v1:place54,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,230
urn:cite2:hmt:place.v1:place365,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,143
urn:cite2:exploreHomer:place.v1:place55,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,145
urn:cite2:hmt:place.v1:place68,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,334
urn:cite2:hmt:place.v1:place99,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.800,352
urn:cite2:hmt:place.v1:place191,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,269
