named_entity_urn,ref,token_position
urn:cite2:beyond-translation:place.atlas_v1:30,urn:cts:engLit:gibbon.decline.ccel-eng1:01.05.01,273
urn:cite2:beyond-translation:place.atlas_v1:30,urn:cts:engLit:gibbon.decline.ccel-eng1:01.10.01,116
urn:cite2:beyond-translation:place.atlas_v1:30,urn:cts:engLit:gibbon.decline.ccel-eng1:01.19.01,203
urn:cite2:beyond-translation:place.atlas_v1:30,urn:cts:engLit:gibbon.decline.ccel-eng1:01.20.01,343
urn:cite2:beyond-translation:place.atlas_v1:30,urn:cts:engLit:gibbon.decline.ccel-eng1:01.24.01,167
urn:cite2:beyond-translation:place.atlas_v1:30,urn:cts:engLit:gibbon.decline.ccel-eng1:01.26.00,2
urn:cite2:beyond-translation:place.atlas_v1:30,urn:cts:engLit:gibbon.decline.ccel-eng1:01.26.01,16
urn:cite2:beyond-translation:place.atlas_v1:30,urn:cts:engLit:gibbon.decline.ccel-eng1:01.26.01,80
urn:cite2:beyond-translation:place.atlas_v1:30,urn:cts:engLit:gibbon.decline.ccel-eng1:01.27.01,25
urn:cite2:beyond-translation:place.atlas_v1:30,urn:cts:engLit:gibbon.decline.ccel-eng1:01.28.01,13
urn:cite2:beyond-translation:place.atlas_v1:30,urn:cts:engLit:gibbon.decline.ccel-eng1:01.28.01,124
urn:cite2:beyond-translation:place.atlas_v1:30,urn:cts:engLit:gibbon.decline.ccel-eng1:01.30.01,3
urn:cite2:beyond-translation:place.atlas_v1:30,urn:cts:engLit:gibbon.decline.ccel-eng1:01.30.01,73
urn:cite2:beyond-translation:place.atlas_v1:30,urn:cts:engLit:gibbon.decline.ccel-eng1:01.30.01,108
urn:cite2:beyond-translation:place.atlas_v1:30,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,234
urn:cite2:beyond-translation:place.atlas_v1:10,urn:cts:engLit:gibbon.decline.ccel-eng1:01.31.01,149
urn:cite2:beyond-translation:place.atlas_v1:18,urn:cts:engLit:gibbon.decline.ccel-eng1:01.25.01,196
urn:cite2:beyond-translation:place.atlas_v1:57,urn:cts:engLit:gibbon.decline.ccel-eng1:01.20.01,155
urn:cite2:beyond-translation:place.atlas_v1:57,urn:cts:engLit:gibbon.decline.ccel-eng1:01.20.01,243
