ve_ref,value,word_value,lemma,gloss,part_of_speech,tag,case,mood
47.94.t8,δὲ,δὲ,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
47.94.t9,αἱ,αἱ,ὁ,1: ,article,l-p---fn-,nominative,
47.94.t10,τῶν,τῶν,ὁ,1: ,article,l-p---mg-,genitive,
47.94.t11,ἀφρόνων;,ἀφρόνων,ἄφρων,senseless,adjective,a-p---mg-,genitive,
47.94.t12,[0],[0],,,,,,
47.94.t13,[1],[1],,,,,,
47.94.t14,[2],[2],,,,,,
47.94.t15,[3],[3],,,,,,
47.95.t1,πῶς,πῶς,πῶς,1: hoe?,adverb,d--------,,
47.95.t2,δ’,δ’,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
47.95.t3,οὔ;,οὔ,οὐ,1: niet,adverb,d--------,,
47.95.t4,[0],[0],,,,,,
47.96.t1,φέρε,φέρε,φέρω,1: (ver)dragen,verb,v2spma---,,imperative
47.96.t2,"δή,",δή,δή,"1: al, reeds | dus, dan toch",adverb,d--------,,
47.96.t3,πῶς,πῶς,πῶς,1: hoe?,adverb,d--------,,
47.96.t4,αὖ,αὖ,αὖ,1: opnieuw | anderzijds,adverb,d--------,,
47.96.t5,τὰ,τὰ,ὁ,1: ,article,l-p---nn-,nominative,
47.96.t6,τοιαῦτα,τοιαῦτα,τοιοῦτος,"1: zulke, zo´n, van die aard",pronoun,p-p---nn-,nominative,
47.96.t7,ἐλέγετο;,ἐλέγετο,λέγω,"1: spreken, zeggen | verzamelen",verb,v3siie---,,indicative
47.97.t1,γυμναζόμενος,γυμναζόμενος,γυμνάζω,"train naked, train in gymnastic exercise",verb,v-sppemn-,nominative,participle
47.97.t2,ἀνὴρ,ἀνὴρ,ἀνήρ,1: mens | volwassene | echtgenoot,noun,n-s---mn-,nominative,
47.97.t3,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
47.97.t4,τοῦτο,τοῦτο,οὗτος,1: die (daar),pronoun,p-s---na-,accusative,
47.97.t5,πράττων,πράττων,πράσσω,,verb,v-sppamn-,nominative,participle
47.97.t6,πότερον,πότερον,πότερον,,adverb,d--------,,
47.97.t7,παντὸς,παντὸς,πᾶς,1: geheel | elk | alle,adjective,a-s---mg-,genitive,
47.97.t8,ἀνδρὸς,ἀνδρὸς,ἀνήρ,1: mens | volwassene | echtgenoot,noun,n-s---mg-,genitive,
47.97.t9,ἐπαίνῳ,ἐπαίνῳ,ἔπαινος,"approval, praise, commendation",noun,n-s---md-,dative,
47.97.t10,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
47.97.t11,ψόγῳ,ψόγῳ,ψόγος,"blamable fault, blemish, flaw",noun,n-s---md-,dative,
47.97.t12,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
47.97.t13,δόξῃ,δόξῃ,δόξα,expectation,noun,n-s---fd-,dative,
47.97.t14,τὸν,τὸν,ὁ,1: ,article,l-s---ma-,accusative,
47.97.t15,νοῦν,νοῦν,νόος,mind,noun,n-s---ma-,accusative,
47.97.t16,"προσέχει,",προσέχει,προσέχω,"1: richten naar, zich toeleggen op | bovendien hebben",verb,v3spia---,,indicative
