ve_ref,value,word_value,lemma,part_of_speech,gloss (eng),parse,tag
12.t9,λέγων,λέγων,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",PRES ACT NOM.SG M PTCP,v-sppamn-
12.t10,ὅτι,ὅτι,ὅτι,CONJ,"adv. + superl., as...as possible; ὅτι μή except",INDECL,c--------
12.t11,θεοῦ,θεοῦ,θεός,NOUN,god,GEN.SG M,n-s---mg-
12.t12,μοι,μοι,ἐγώ,PRONOUN,I (first person pronoun),DAT.SG c,p-s---cd-
12.t13,φωνὴ,φωνὴ,φωνή,NOUN,"a sound, tone",NOM.SG F,n-s---fn-
12.t14,φαίνεται,φαίνεται,φαίνω,VERB,"to bring to light, make to appear",PRES MID 3SG IND,v3spie---
12.t15,σημαίνουσα,σημαίνουσα,σημαίνω,VERB,"to shew by a sign, indicate, make known, point out",PRES ACT NOM.SG F PTCP,v-sppafn-
12.t16,ὅ,ὅ,ὅς,PRONOUN,"who, that, which: relative pronoun",ACC.SG N,p-s---na-
12.t17,τι,τι,τις,ADJ,"any one, any thing, some one, some thing",ACC.SG N,a-s---na-
12.t18,χρὴ,χρὴ,χρή,VERB,"it is fated, necessary",PRES ACT 3SG IND,v3spia---
12.t19,ποιεῖν;,ποιεῖν,ποιέω,VERB,"to make, to do",PRES ACT INF,v--pna---
12.t20,καὶ,καὶ,καί,,"and, also",INDECL,b--------
12.t21,γὰρ,γὰρ,γάρ,ADV,for,INDECL,d--------
12.t22,οἱ,οἱ,ὁ,ART,the,NOM.PL M,l-p---mn-
12.t23,φθόγγοις,φθόγγοις,φθόγγος,NOUN,"any clear, distinct sound",DAT.PL M,n-p---md-
12.t24,οἰωνῶν,οἰωνῶν,οἰωνός,NOUN,"a large bird, bird of prey; omen",GEN.PL M,n-p---mg-
12.t25,καὶ,καὶ,καί,,"and, also",INDECL,b--------
12.t26,οἱ,οἱ,ἕ,PRONOUN,the letter epsilon,DAT.SG c,p-s---cd-
12.t27,φήμαις,φήμαις,φήμη,NOUN,"a voice from heaven, a prophetic voice",DAT.PL F,n-p---fd-
12.t28,ἀνθρώπων,ἀνθρώπων,ἄνθρωπος,NOUN,"man, person, human",GEN.PL M,n-p---mg-
12.t29,χρώμενοι,χρώμενοι,χράω,VERB,"to fall upon, attack, assail",PRES MID NOM.PL M PTCP,v-pppemn-
12.t30,φωναῖς,φωναῖς,φωνή,NOUN,"a sound, tone",DAT.PL F,n-p---fd-
12.t31,δήπου,δήπου,δήπου,ADV,"perhaps, it may be",INDECL,d--------
12.t32,τεκμαίρονται.,τεκμαίρονται,τεκμαίρομαι,VERB,to fix by a mark,PRES MID 3PL IND,v3ppie---
12.t33,βροντὰς,βροντὰς,βροντή,NOUN,thunder,ACC.PL F,n-p---fa-
12.t34,δὲ,δὲ,δέ,,but,INDECL,b--------
12.t35,ἀμφιλέξει,ἀμφιλέξει,ἀμφιλέγω,VERB,to dispute about,FUT ACT 3SG IND,v3sfia---
12.t36,τις,τις,τις,ADJ,"any one, any thing, some one, some thing",NOM.SG c,a-s---cn-
12.t37,ἢ,ἢ,ἤ,,either..or; than,INDECL,b--------
12.t38,μὴ,μὴ,μή,ADV,not,INDECL,d--------
12.t39,φωνεῖν,φωνεῖν,φωνέω,VERB,to produce a sound,PRES ACT INF,v--pna---
12.t40,ἢ,ἢ,ἤ,,either..or; than,INDECL,b--------
12.t41,μὴ,μὴ,μή,ADV,not,INDECL,d--------
12.t42,μέγιστον,μέγιστον,μέγας,ADJ,"big, great",NOM.SG N SUP,a-s---nns
12.t43,οἰωνιστήριον,οἰωνιστήριον,οἰωνιστήριον,NOUN,a place for watching the flight of birds an omen,NOM.SG N,n-s---nn-
12.t44,εἶναι;,εἶναι,εἰμί,VERB,to be,PRES ACT INF,v--pna---
12.t45,ἡ,ἡ,ὁ,ART,the,NOM.SG F,l-s---fn-
12.t46,δὲ,δὲ,δέ,,but,INDECL,b--------
12.t47,Πυθοῖ,Πυθοῖ,Πυθώ,ADV,"Pytho, the region of Delphi",INDECL,d--------
12.t48,ἐν,ἐν,ἐν,PREP,"in, among. c. dat.",INDECL,r--------
12.t49,τῷ,τῷ,ὁ,ART,the,DAT.SG M,l-s---md-
12.t50,τρίποδι,τρίποδι,τρίπους,NOUN,"three-footed, of or with three feet (n. a tripod)",DAT.SG M,n-s---md-
12.t51,ἱέρεια,ἱέρεια,ἱέρεια,NOUN,a priestess,NOM.SG F,n-s---fn-
12.t52,οὐ,οὐ,οὐ,ADV,not,INDECL,d--------
12.t53,καὶ,καὶ,καί,,"and, also",INDECL,b--------
12.t54,αὐτὴ,αὐτὴ,αὐτός,ADJ,unemph. 3rd pers.pronoun; -self; [the] same ,NOM.SG F,a-s---fn-
12.t55,φωνῇ,φωνῇ,φωνή,NOUN,"a sound, tone",DAT.SG F,n-s---fd-
12.t56,τὰ,τὰ,ὁ,ART,the,NOM.PL N,l-p---nn-
12.t57,παρὰ,παρὰ,παρά,PREP,"from the side of, c. gen., beside, alongside of, c. dat., to the side of, motion alongside of, c. acc.",INDECL,r--------
12.t58,τοῦ,τοῦ,ὁ,ART,the,GEN.SG M,l-s---mg-
12.t59,θεοῦ,θεοῦ,θεός,NOUN,god,GEN.SG M,n-s---mg-
12.t60,διαγγέλλει;,διαγγέλλει,διαγγέλλω,VERB,"to give notice by a messenger, to send as a message",PRES ACT 3SG IND,v3spia---
13.t1,ἀλλὰ,ἀλλὰ,ἀλλά,,"otherwise, but",INDECL,b--------
13.t2,μέντοι,μέντοι,μέντοι,ADV,"however, nevertheless; of course (answers)",INDECL,d--------
13.t3,καὶ,καὶ,καί,,"and, also",INDECL,b--------
13.t4,τὸ,τὸ,ὁ,ART,the,ACC.SG N,l-s---na-
13.t5,προειδέναι,προειδέναι,πρόοιδα,VERB,to know beforehand,PRF ACT INF,v--rna---
13.t6,γε,γε,γε,ADV,"at least, at any rate",INDECL,d--------
13.t7,τὸν,τὸν,ὁ,ART,the,ACC.SG M,l-s---ma-
13.t8,θεὸν,θεὸν,θεός,NOUN,god,ACC.SG M,n-s---ma-
13.t9,τὸ,τὸ,ὁ,ART,the,ACC.SG N,l-s---na-
13.t10,μέλλον,μέλλον,μέλλω,VERB,"to think of doing, intend to do, to be about to do",PRES ACT ACC.SG N PTCP,v-sppana-
13.t11,καὶ,καὶ,καί,,"and, also",INDECL,b--------
13.t12,τὸ,τὸ,ὁ,ART,the,ACC.SG N,l-s---na-
13.t13,προσημαίνειν,προσημαίνειν,προσημαίνω,VERB,"to presignify, foretell, announce",PRES ACT INF,v--pna---
