ve_ref,value,word_value,lemma,part_of_speech,gloss (eng),parse,tag
20.t77,ὑμεῖς,ὑμεῖς,σύ,PRONOUN,you (personal pronoun),NOM.PL c,p-p---cn-
20.t78,πρὸ,πρὸ,πρό,PREP,before,INDECL,r--------
20.t79,ὑμῶν,ὑμῶν,σύ,PRONOUN,you (personal pronoun),GEN.PL c,p-p---cg-
20.t80,"αὐτῶν,",αὐτῶν,αὐτός,ADJ,unemph. 3rd pers.pronoun; -self; [the] same ,GEN.PL M,a-p---mg-
20.t81,οὓς,οὓς,ὅς,PRONOUN,"who, that, which: relative pronoun",ACC.PL M,p-p---ma-
20.t82,ἂν,ἂν,ἄν,ADV,modal particle,INDECL,d--------
20.t83,ἡγῆσθε,ἡγῆσθε,ἡγέομαι,VERB,"to lead; to consider, believe",PRES MID 2PL SBJV,v2ppse---
20.t84,περὶ,περὶ,περί,PREP,"around, round about with gen., dat., and acc.",INDECL,r--------
20.t85,τῶν,τῶν,ὁ,ART,the,GEN.PL M,l-p---mg-
20.t86,πολεμικῶν,πολεμικῶν,πολεμικός,ADJ,of or for war; skilled in war; hostile,GEN.PL M,a-p---mg-
20.t87,φρονιμωτάτους,φρονιμωτάτους,φρόνιμος,ADJ,"in one's right mind, in one's senses",ACC.PL M SUP,a-p---mas
20.t88,εἶναι;,εἶναι,εἰμί,VERB,to be,PRES ACT INF,v--pna---
20.t89,οὕτω,οὕτω,οὕτως,ADV,"so, in this manner",INDECL,d--------
20.t90,"γάρ,",γάρ,γάρ,ADV,for,INDECL,d--------
20.t91,φάναι,φάναι,φημί,VERB,"to say, to claim",PRES ACT INF,v--pna---
20.t92,τὸν,τὸν,ὁ,ART,the,ACC.SG M,l-s---ma-
20.t93,"Μέλητον,",Μέλητον,Μέλητος,NOUN,Meletus,ACC.SG M,n-s---ma-
20.t94,ὦ,ὦ,ὦ,INTJ,O! oh!,INDECL,i--------
20.t95,"Σώκρατες,",Σώκρατες,Σωκράτης,NOUN,Socrates,VOC.SG M,n-s---mv-
20.t96,καὶ,καὶ,καί,,"and, also",INDECL,b--------
20.t97,συμφέρει,συμφέρει,συμφέρω,VERB,to bring together; impers. to benefit,PRES ACT 3SG IND,v3spia---
20.t98,καὶ,καὶ,καί,,"and, also",INDECL,b--------
20.t99,νομίζεται.,νομίζεται,νομίζω,VERB,to have as a custom; to believe,PRES MID 3SG IND,v3spie---
21.t1,"οὐκοῦν,",οὐκοῦν,οὐκοῦν,ADV,"therefore, then, accordingly",INDECL,d--------
21.t2,εἰπεῖν,εἰπεῖν,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",AOR ACT INF,v--ana---
21.t3,τὸν,τὸν,ὁ,ART,the,ACC.SG M,l-s---ma-
21.t4,"Σωκράτην,",Σωκράτην,Σωκράτης,NOUN,Socrates,ACC.SG M,n-s---ma-
21.t5,θαυμαστὸν,θαυμαστὸν,θαυμαστός,ADJ,"wondrous, wonderful, marvellous",ACC.SG N,a-s---na-
21.t6,καὶ,καὶ,καί,,"and, also",INDECL,b--------
21.t7,τοῦτό,τοῦτό,οὗτος,ADJ,this; that,NOM.SG N,a-s---nn-
21.t8,σοι,σοι,σύ,PRONOUN,you (personal pronoun),DAT.SG c,p-s---cd-
21.t9,δοκεῖ,δοκεῖ,δοκέω,VERB,"seem, impers. it seems best..",PRES ACT 3SG IND,v3spia---
21.t10,"εἶναι,",εἶναι,εἰμί,VERB,to be,PRES ACT INF,v--pna---
21.t11,τὸ,τὸ,ὁ,ART,the,ACC.SG N,l-s---na-
21.t12,ἐν,ἐν,ἐν,PREP,"in, among. c. dat.",INDECL,r--------
21.t13,μὲν,μὲν,μέν,ADV,"on the one hand, on the other hand",INDECL,d--------
21.t14,ταῖς,ταῖς,ὁ,ART,the,DAT.PL F,l-p---fd-
21.t15,ἄλλαις,ἄλλαις,ἄλλος,ADJ,"other, another",DAT.PL F,a-p---fd-
21.t16,πράξεσι,πράξεσι,πρᾶξις,NOUN,"a doing, transaction, business",DAT.PL F,n-p---fd-
21.t17,μὴ,μὴ,μή,ADV,not,INDECL,d--------
21.t18,μόνον,μόνον,μόνον,ADV,,INDECL,d--------
21.t19,ἰσομοιρίας,ἰσομοιρίας,ἰσομοιρία,NOUN,"an equal share, partnership",ACC.PL F,n-p---fa-
21.t20,τυγχάνειν,τυγχάνειν,τυγχάνω,VERB,"(with gen.) to hit the mark, to get; (with pple) to happen to, to actually",PRES ACT INF,v--pna---
21.t21,τοὺς,τοὺς,ὁ,ART,the,ACC.PL M,l-p---ma-
21.t22,"κρατίστους,",κρατίστους,ἀγαθός,ADJ,good,ACC.PL M SUP,a-p---mas
21.t23,ἀλλὰ,ἀλλὰ,ἀλλά,,"otherwise, but",INDECL,b--------
21.t24,καὶ,καὶ,καί,,"and, also",INDECL,b--------
21.t25,"προτετιμῆσθαι,",προτετιμῆσθαι,προτιμάω,VERB,to honour,PRF MID INF,v--rne---
21.t26,ἐμὲ,ἐμὲ,ἐγώ,PRONOUN,I (first person pronoun),ACC.SG c,p-s---ca-
21.t27,"δέ,",δέ,δέ,,but,INDECL,b--------
21.t28,ὅτι,ὅτι,ὅτι,CONJ,"adv. + superl., as...as possible; ὅτι μή except",INDECL,c--------
21.t29,περὶ,περὶ,περί,PREP,"around, round about with gen., dat., and acc.",INDECL,r--------
21.t30,τοῦ,τοῦ,ὁ,ART,the,GEN.SG N,l-s---ng-
21.t31,μεγίστου,μεγίστου,μέγας,ADJ,"big, great",GEN.SG N SUP,a-s---ngs
21.t32,ἀγαθοῦ,ἀγαθοῦ,ἀγαθός,ADJ,good,GEN.SG N,a-s---ng-
21.t33,ἀνθρώποις,ἀνθρώποις,ἄνθρωπος,NOUN,"man, person, human",DAT.PL M,n-p---md-
21.t34,περὶ,περὶ,περί,PREP,"around, round about with gen., dat., and acc.",INDECL,r--------
21.t35,"παιδείας,",παιδείας,παιδεία,NOUN,the rearing of a child,GEN.SG F,n-s---fg-
21.t36,βέλτιστος,βέλτιστος,ἀγαθός,ADJ,good,NOM.SG M SUP,a-s---mns
21.t37,εἶναι,εἶναι,εἰμί,VERB,to be,PRES ACT INF,v--pna---
21.t38,ὑπό,ὑπό,ὑπό,PREP,"from under, by, c. gen. under, c. dat., towards c. acc.",INDECL,r--------
21.t39,τινων,τινων,τις,ADJ,"any one, any thing, some one, some thing",GEN.PL c,a-p---cg-
21.t40,"προκρίνομαι,",προκρίνομαι,προκρίνω,VERB,"to choose before others, choose by preference, prefer, select",PRES MID 1SG IND,v1spie---
21.t41,τούτου,τούτου,οὗτος,ADJ,this; that,GEN.SG N,a-s---ng-
21.t42,ἕνεκα,ἕνεκα,ἕνεκα,PREP,"on account of, for the sake of, because of, for",INDECL,r--------
21.t43,θανάτου,θανάτου,θάνατος,NOUN,death,GEN.SG M,n-s---mg-
21.t44,ὑπὸ,ὑπὸ,ὑπό,PREP,"from under, by, c. gen. under, c. dat., towards c. acc.",INDECL,r--------
21.t45,σοῦ,σοῦ,σύ,PRONOUN,you (personal pronoun),GEN.SG c,p-s---cg-
21.t46,διώκεσθαι;,διώκεσθαι,διώκω,VERB,to pursue,PRES MID INF,v--pne---
22.t1,ἐρρήθη,ἐρρήθη,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",AOR PASS 3SG IND,v3saip---
22.t2,μὲν,μὲν,μέν,ADV,"on the one hand, on the other hand",INDECL,d--------
22.t3,δῆλον,δῆλον,δῆλος,ADJ,"visible, conspicuous",NOM.SG N,a-s---nn-
22.t4,ὅτι,ὅτι,ὅτι,CONJ,"adv. + superl., as...as possible; ὅτι μή except",INDECL,c--------
22.t5,τούτων,τούτων,οὗτος,ADJ,this; that,GEN.PL N,a-p---ng-
22.t6,πλείω,πλείω,πολύς,ADJ,"much, many",ACC.PL N COMP,a-p---nac
22.t7,ὑπό,ὑπό,ὑπό,PREP,"from under, by, c. gen. under, c. dat., towards c. acc.",INDECL,r--------
22.t8,τε,τε,τε,,and,INDECL,b--------
22.t9,αὐτοῦ,αὐτοῦ,αὐτός,ADJ,unemph. 3rd pers.pronoun; -self; [the] same ,GEN.SG M,a-s---mg-
22.t10,καὶ,καὶ,καί,,"and, also",INDECL,b--------
22.t11,τῶν,τῶν,ὁ,ART,the,GEN.PL M,l-p---mg-
22.t12,συναγορευόντων,συναγορευόντων,συναγορεύω,VERB,"to join in advocating, advocate the same",PRES ACT GEN.PL M PTCP,v-pppamg-
22.t13,φίλων,φίλων,φίλος,ADJ,"friend; loved, beloved, dear",GEN.PL M,a-p---mg-
22.t14,αὐτῷ.,αὐτῷ,αὐτός,ADJ,unemph. 3rd pers.pronoun; -self; [the] same ,DAT.SG M,a-s---md-
22.t15,ἀλλʼ,ἀλλʼ,ἀλλά,,"otherwise, but",INDECL,b--------
22.t16,ἐγὼ,ἐγὼ,ἐγώ,PRONOUN,I (first person pronoun),NOM.SG c,p-s---cn-
22.t17,οὐ,οὐ,οὐ,ADV,not,INDECL,d--------
22.t18,τὰ,τὰ,ὁ,ART,the,ACC.PL N,l-p---na-
22.t19,πάντα,πάντα,πᾶς,ADJ,"all, the whole",ACC.PL N,a-p---na-
22.t20,εἰπεῖν,εἰπεῖν,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",AOR ACT INF,v--ana---
22.t21,τὰ,τὰ,ὁ,ART,the,ACC.PL N,l-p---na-
22.t22,ἐκ,ἐκ,ἐκ,PREP,from out of,INDECL,r--------
22.t23,τῆς,τῆς,ὁ,ART,the,GEN.SG F,l-s---fg-
22.t24,δίκης,δίκης,δίκη,NOUN,"(custom, usage) justice, lawsuit, penalty",GEN.SG F,n-s---fg-
22.t25,"ἐσπούδασα,",ἐσπούδασα,σπουδάζω,VERB,to make haste,AOR ACT 1SG IND,v1saia---
22.t26,ἀλλʼ,ἀλλʼ,ἀλλά,,"otherwise, but",INDECL,b--------
22.t27,ἤρκεσέ,ἤρκεσέ,ἀρκέω,VERB,to ward off; to be sufficient,AOR ACT 3SG IND,v3saia---
22.t28,μοι,μοι,ἐγώ,PRONOUN,I (first person pronoun),DAT.SG c,p-s---cd-
22.t29,δηλῶσαι,δηλῶσαι,δηλόω,VERB,to make visible,AOR ACT INF,v--ana---
22.t30,ὅτι,ὅτι,ὅτι,CONJ,"adv. + superl., as...as possible; ὅτι μή except",INDECL,c--------
22.t31,Σωκράτης,Σωκράτης,Σωκράτης,NOUN,Socrates,NOM.SG M,n-s---mn-
22.t32,τὸ,τὸ,ὁ,ART,the,ACC.SG N,l-s---na-
22.t33,μὲν,μὲν,μέν,ADV,"on the one hand, on the other hand",INDECL,d--------
22.t34,μήτε,μήτε,μήτε,,neither / nor,INDECL,b--------
22.t35,περὶ,περὶ,περί,PREP,"around, round about with gen., dat., and acc.",INDECL,r--------
22.t36,θεοὺς,θεοὺς,θεός,NOUN,god,ACC.PL M,n-p---ma-
22.t37,ἀσεβῆσαι,ἀσεβῆσαι,ἀσεβέω,VERB,"to be impious, to act profanely, sin against the gods",AOR ACT INF,v--ana---
22.t38,μήτε,μήτε,μήτε,,neither / nor,INDECL,b--------
22.t39,περὶ,περὶ,περί,PREP,"around, round about with gen., dat., and acc.",INDECL,r--------
22.t40,ἀνθρώπους,ἀνθρώπους,ἄνθρωπος,NOUN,"man, person, human",ACC.PL M,n-p---ma-
22.t41,ἄδικος,ἄδικος,ἄδικος,ADJ,"wrong-doing, unrighteous, unjust",NOM.SG M,a-s---mn-
22.t42,φανῆναι,φανῆναι,φαίνω,VERB,"to bring to light, make to appear",AOR PASS INF,v--anp---
22.t43,περὶ,περὶ,περί,PREP,"around, round about with gen., dat., and acc.",INDECL,r--------
22.t44,παντὸς,παντὸς,πᾶς,ADJ,"all, the whole",GEN.SG N,a-s---ng-
22.t45,ἐποιεῖτο·,ἐποιεῖτο,ποιέω,VERB,"to make, to do",IMPRF MID 3SG IND,v3siie---
23.t1,τὸ,τὸ,ὁ,ART,the,ACC.SG N,l-s---na-
23.t2,δὲ,δὲ,δέ,,but,INDECL,b--------
23.t3,μὴ,μὴ,μή,ADV,not,INDECL,d--------
23.t4,ἀποθανεῖν,ἀποθανεῖν,ἀποθνῄσκω,VERB,"to die, be killed",AOR ACT INF,v--ana---
23.t5,οὐκ,οὐκ,οὐ,ADV,not,INDECL,d--------
23.t6,ᾤετο,ᾤετο,οἴομαι,VERB,"to suppose, think, deem, imagine",IMPRF MID 3SG IND,v3siie---
23.t7,λιπαρητέον,λιπαρητέον,λιπαρητέον,ADJ,one must be importunate,ACC.SG M,a-s---ma-
23.t8,"εἶναι,",εἶναι,εἰμί,VERB,to be,PRES ACT INF,v--pna---
23.t9,ἀλλὰ,ἀλλὰ,ἀλλά,,"otherwise, but",INDECL,b--------
23.t10,καὶ,καὶ,καί,,"and, also",INDECL,b--------
23.t11,καιρὸν,καιρὸν,καιρός,NOUN,"time; the right moment, opportunity",ACC.SG M,n-s---ma-
23.t12,ἤδη,ἤδη,ἤδη,ADV,already,INDECL,d--------
23.t13,ἐνόμιζεν,ἐνόμιζεν,νομίζω,VERB,to have as a custom; to believe,IMPRF ACT 3SG IND,v3siia---
23.t14,ἑαυτῷ,ἑαυτῷ,ἑαυτοῦ,PRONOUN,"himself, herself, themselves",DAT.SG M,p-s---md-
23.t15,τελευτᾶν.,τελευτᾶν,τελευτάω,VERB,"to complete, finish, accomplish; pple. finally, in the end",PRES ACT INF,v--pna---
23.t16,ὅτι,ὅτι,ὅτι,CONJ,"adv. + superl., as...as possible; ὅτι μή except",INDECL,c--------
23.t17,δὲ,δὲ,δέ,,but,INDECL,b--------
23.t18,οὕτως,οὕτως,οὕτως,ADV,"so, in this manner",INDECL,d--------
23.t19,ἐγίγνωσκε,ἐγίγνωσκε,γιγνώσκω,VERB,"to learn to know, to perceive, mark, learn",IMPRF ACT 3SG IND,v3siia---
23.t20,καταδηλότερον,καταδηλότερον,κατάδηλος,ADJ,"quite manifest, plain, visible",ACC.SG N COMP,a-s---nac
23.t21,"ἐγένετο,",ἐγένετο,γίγνομαι,VERB,"become, be born",AOR MID 3SG IND,v3saim---
23.t22,ἐπειδὴ,ἐπειδὴ,ἐπειδή,CONJ,,INDECL,c--------
23.t23,καὶ,καὶ,καί,,"and, also",INDECL,b--------
23.t24,ἡ,ἡ,ὁ,ART,the,NOM.SG F,l-s---fn-
23.t25,δίκη,δίκη,δίκη,NOUN,"(custom, usage) justice, lawsuit, penalty",NOM.SG F,n-s---fn-
23.t26,κατεψηφίσθη.,κατεψηφίσθη,καταψηφίζομαι,VERB,to vote against,AOR PASS 3SG IND,v3saip---
23.t27,πρῶτον,πρῶτον,πρῶτος,ADJ,first,ACC.SG N,a-s---na-
23.t28,μὲν,μὲν,μέν,ADV,"on the one hand, on the other hand",INDECL,d--------
23.t29,γὰρ,γὰρ,γάρ,ADV,for,INDECL,d--------
23.t30,κελευόμενος,κελευόμενος,κελεύω,VERB,to urge,PRES MID NOM.SG M PTCP,v-sppemn-
23.t31,ὑποτιμᾶσθαι,ὑποτιμᾶσθαι,ὑποτιμάω,VERB,name the price of what one offers for sale,PRES MID INF,v--pne---
23.t32,οὔτε,οὔτε,οὔτε,,neither / nor,INDECL,b--------
23.t33,αὐτὸς,αὐτὸς,αὐτός,ADJ,unemph. 3rd pers.pronoun; -self; [the] same ,NOM.SG M,a-s---mn-
23.t34,ὑπετιμήσατο,ὑπετιμήσατο,ὑποτιμάομαι,VERB,,AOR MID 3SG IND,v3saim---
23.t35,οὔτε,οὔτε,οὔτε,,neither / nor,INDECL,b--------
23.t36,τοὺς,τοὺς,ὁ,ART,the,ACC.PL M,l-p---ma-
23.t37,φίλους,φίλους,φίλος,ADJ,"friend; loved, beloved, dear",ACC.PL M,a-p---ma-
23.t38,"εἴασεν,",εἴασεν,ἐάω,VERB,"to let, suffer, allow, permit",AOR ACT 3SG IND,v3saia---
23.t39,ἀλλὰ,ἀλλὰ,ἀλλά,,"otherwise, but",INDECL,b--------
23.t40,καὶ,καὶ,καί,,"and, also",INDECL,b--------
23.t41,ἔλεγεν,ἔλεγεν,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",IMPRF ACT 3SG IND,v3siia---
23.t42,ὅτι,ὅτι,ὅτι,CONJ,"adv. + superl., as...as possible; ὅτι μή except",INDECL,c--------
23.t43,τὸ,τὸ,ὁ,ART,the,NOM.SG N,l-s---nn-
23.t44,ὑποτιμᾶσθαι,ὑποτιμᾶσθαι,ὑποτιμάω,VERB,name the price of what one offers for sale,PRES MID INF,v--pne---
23.t45,ὁμολογοῦντος,ὁμολογοῦντος,ὁμολογέω,VERB,"agree, say the same thing as",PRES ACT GEN.SG N PTCP,v-sppang-
23.t46,εἴη,εἴη,εἰμί,VERB,to be,PRES ACT 3SG OPT,v3spoa---
23.t47,ἀδικεῖν.,ἀδικεῖν,ἀδικέω,VERB,to do wrong,PRES ACT INF,v--pna---
23.t48,ἔπειτα,ἔπειτα,ἔπειτα,ADV,"then, next",INDECL,d--------
23.t49,τῶν,τῶν,ὁ,ART,the,GEN.PL M,l-p---mg-
23.t50,ἑταίρων,ἑταίρων,ἑταῖρος,NOUN,"a comrade, companion, mate",GEN.PL M,n-p---mg-
23.t51,ἐκκλέψαι,ἐκκλέψαι,ἐκκλέπτω,VERB,"to steal and bring off secretly, to purloin",AOR ACT INF,v--ana---
23.t52,βουλομένων,βουλομένων,βούλομαι,VERB,"to will, wish, be willing",PRES MID GEN.PL M PTCP,v-pppemg-
23.t53,αὐτὸν,αὐτὸν,αὐτός,ADJ,unemph. 3rd pers.pronoun; -self; [the] same ,ACC.SG M,a-s---ma-
23.t54,οὐκ,οὐκ,οὐ,ADV,not,INDECL,d--------
23.t55,"ἐφείπετο,",ἐφείπετο,ἐφέπω,VERB,"to go after, follow, pursue",IMPRF MID 3SG IND,v3siie---
23.t56,ἀλλὰ,ἀλλὰ,ἀλλά,,"otherwise, but",INDECL,b--------
23.t57,καὶ,καὶ,καί,,"and, also",INDECL,b--------
23.t58,ἐπισκῶψαι,ἐπισκῶψαι,ἐπισκώπτω,VERB,"to laugh at, quiz, make game of",AOR ACT INF,v--ana---
23.t59,ἐδόκει,ἐδόκει,δοκέω,VERB,"seem, impers. it seems best..",IMPRF ACT 3SG IND,v3siia---
23.t60,ἐρόμενος,ἐρόμενος,ἔρομαι,VERB,"to ask, enquire",AOR MID NOM.SG M PTCP,v-sapmmn-
23.t61,εἴ,εἴ,εἰ,CONJ,"conj. if, whether; part. w/wishes, adv. w/imperatives",INDECL,c--------
23.t62,που,που,που,ADV,"anywhere, somewhere",INDECL,d--------
23.t63,εἰδεῖέν,εἰδεῖέν,οἶδα,VERB,to know,PRF ACT 3PL OPT,v3proa---
23.t64,τι,τι,τις,ADJ,"any one, any thing, some one, some thing",ACC.SG N,a-s---na-
23.t65,χωρίον,χωρίον,χωρίον,NOUN,"a particular place, a place, spot, district",ACC.SG N,n-s---na-
23.t66,ἔξω,ἔξω,ἔξω,ADV,out,INDECL,d--------
23.t67,τῆς,τῆς,ὁ,ART,the,GEN.SG F,l-s---fg-
23.t68,Ἀττικῆς,Ἀττικῆς,Ἀττική,NOUN,Attica,GEN.SG F,n-s---fg-
23.t69,ἔνθα,ἔνθα,ἔνθα,ADV,there,INDECL,d--------
23.t70,οὐ,οὐ,οὐ,ADV,not,INDECL,d--------
23.t71,προσβατὸν,προσβατὸν,προσβατός,ADJ,accessible,ACC.SG M,a-s---ma-
23.t72,θανάτῳ.,θανάτῳ,θάνατος,NOUN,death,DAT.SG M,n-s---md-
24.t1,ὡς,ὡς,ὡς,CONJ,"as, how",INDECL,c--------
24.t2,δὲ,δὲ,δέ,,but,INDECL,b--------
24.t3,τέλος,τέλος,τέλος,NOUN,"end, authority, fulfilment, taxes, duty",NOM.SG N,n-s---nn-
24.t4,εἶχεν,εἶχεν,ἔχω,VERB,"have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)",IMPRF ACT 3SG IND,v3siia---
24.t5,ἡ,ἡ,ὁ,ART,the,NOM.SG F,l-s---fn-
24.t6,"δίκη,",δίκη,δίκη,NOUN,"(custom, usage) justice, lawsuit, penalty",NOM.SG F,n-s---fn-
24.t7,εἰπεῖν,εἰπεῖν,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",AOR ACT INF,v--ana---
24.t8,αὐτόν·,αὐτόν,αὐτός,ADJ,unemph. 3rd pers.pronoun; -self; [the] same ,ACC.SG M,a-s---ma-
24.t9,"ἀλλʼ,",ἀλλʼ,ἀλλά,,"otherwise, but",INDECL,b--------
24.t10,ὦ,ὦ,ὦ,INTJ,O! oh!,INDECL,i--------
24.t11,"ἄνδρες,",ἄνδρες,ἀνήρ,NOUN,a man,VOC.PL M,n-p---mv-
24.t12,τοὺς,τοὺς,ὁ,ART,the,ACC.PL M,l-p---ma-
24.t13,μὲν,μὲν,μέν,ADV,"on the one hand, on the other hand",INDECL,d--------
24.t14,διδάσκοντας,διδάσκοντας,διδάσκω,VERB,to teach,PRES ACT ACC.PL M PTCP,v-pppama-
24.t15,τοὺς,τοὺς,ὁ,ART,the,ACC.PL M,l-p---ma-
24.t16,μάρτυρας,μάρτυρας,μάρτυς,NOUN,a witness,ACC.PL M,n-p---ma-
24.t17,ὡς,ὡς,ὡς,CONJ,"as, how",INDECL,c--------
24.t18,χρὴ,χρὴ,χρή,VERB,"it is fated, necessary",PRES ACT 3SG IND,v3spia---
24.t19,ἐπιορκοῦντας,ἐπιορκοῦντας,ἐπιορκέω,VERB,"to swear falsely, forswear oneself",PRES ACT ACC.PL M PTCP,v-pppama-
24.t20,καταψευδομαρτυρεῖν,καταψευδομαρτυρεῖν,καταψευδομαρτυρέω,VERB,to bear false witness against,PRES ACT INF,v--pna---
24.t21,ἐμοῦ,ἐμοῦ,ἐγώ,PRONOUN,I (first person pronoun),GEN.SG c,p-s---cg-
24.t22,καὶ,καὶ,καί,,"and, also",INDECL,b--------
24.t23,τοὺς,τοὺς,ὁ,ART,the,ACC.PL M,l-p---ma-
24.t24,πειθομένους,πειθομένους,πείθω,VERB,"to prevail upon, win over, persuade",PRES MID ACC.PL M PTCP,v-pppema-
24.t25,τούτοις,τούτοις,οὗτος,ADJ,this; that,DAT.PL M,a-p---md-
24.t26,ἀνάγκη,ἀνάγκη,ἀνάγκη,NOUN,"force, constraint, necessity",NOM.SG F,n-s---fn-
24.t27,ἐστὶ,ἐστὶ,εἰμί,VERB,to be,PRES ACT 3SG IND,v3spia---
24.t28,πολλὴν,πολλὴν,πολύς,ADJ,"much, many",ACC.SG F,a-s---fa-
24.t29,ἑαυτοῖς,ἑαυτοῖς,ἑαυτοῦ,PRONOUN,"himself, herself, themselves",DAT.PL M,p-p---md-
24.t30,συνειδέναι,συνειδέναι,σύνοιδα,VERB,"to share in knowledge, be cognisant of",PRF ACT INF,v--rna---
24.t31,ἀσέβειαν,ἀσέβειαν,ἀσέβεια,NOUN,"ungodliness, impiety, profaneness",ACC.SG F,n-s---fa-
24.t32,καὶ,καὶ,καί,,"and, also",INDECL,b--------
24.t33,ἀδικίαν·,ἀδικίαν,ἀδικία,NOUN,injustice,ACC.SG F,n-s---fa-
24.t34,ἐμοὶ,ἐμοὶ,ἐγώ,PRONOUN,I (first person pronoun),DAT.SG c,p-s---cd-
24.t35,δὲ,δὲ,δέ,,but,INDECL,b--------
24.t36,τί,τί,τίς,ADJ,who? which?,ACC.SG N,a-s---na-
24.t37,προσήκει,προσήκει,προσήκω,VERB,"to have come; to belong to, to fit",PRES ACT 3SG IND,v3spia---
24.t38,νῦν,νῦν,νῦν,ADV,now at this very time,INDECL,d--------
24.t39,μεῖον,μεῖον,μείων,ADJ,less,ACC.SG N COMP,a-s---nac
24.t40,φρονεῖν,φρονεῖν,φρονέω,VERB,"to think, to have understanding, to be sage, wise, prudent",PRES ACT INF,v--pna---
24.t41,ἢ,ἢ,ἤ,,either..or; than,INDECL,b--------
24.t42,πρὶν,πρὶν,πρίν,CONJ,before; (after negated main clause) until,INDECL,c--------
24.t43,"κατακριθῆναι,",κατακριθῆναι,κατακριθάω,VERB,,PRES ACT INF,v--pna---
24.t44,μηδὲν,μηδὲν,μηδείς,ADJ,"(and not one); not one, no-one",ACC.SG N,a-s---na-
24.t45,ἐλεγχθέντι,ἐλεγχθέντι,ἐλέγχω,VERB,cross-examine; put to the test; prove; refute,AOR PASS DAT.SG M PTCP,v-sappmd-
24.t46,ὡς,ὡς,ὡς,CONJ,"as, how",INDECL,c--------
24.t47,πεποίηκά,πεποίηκά,ποιέω,VERB,"to make, to do",PRF ACT 1SG IND,v1sria---
24.t48,τι,τι,τις,ADJ,"any one, any thing, some one, some thing",ACC.SG N,a-s---na-
24.t49,ὧν,ὧν,ὅς,PRONOUN,"who, that, which: relative pronoun",GEN.PL N,p-p---ng-
24.t50,ἐγράψαντό,ἐγράψαντό,γράφω,VERB,"to scratch, draw, write",AOR MID 3PL IND,v3paim---
24.t51,με;,με,ἐγώ,PRONOUN,I (first person pronoun),ACC.SG c,p-s---ca-
24.t52,οὐδὲ,οὐδὲ,οὐδέ,ADV,and/but not; not even,INDECL,d--------
24.t53,γὰρ,γὰρ,γάρ,ADV,for,INDECL,d--------
24.t54,ἔγωγε,ἔγωγε,ἐγώ,PRONOUN,I (first person pronoun),NOM.SG c,p-s---cn-
24.t55,ἀντὶ,ἀντὶ,ἀντί,PREP,"over against, opposite. c. gen.",INDECL,r--------
24.t56,Διὸς,Διὸς,Ζεύς,NOUN,Zeus,GEN.SG M,n-s---mg-
24.t57,καὶ,καὶ,καί,,"and, also",INDECL,b--------
24.t58,Ἥρας,Ἥρας,Ἥρα,NOUN,Hera,GEN.SG F,n-s---fg-
24.t59,καὶ,καὶ,καί,,"and, also",INDECL,b--------
24.t60,τῶν,τῶν,ὁ,ART,the,GEN.PL M,l-p---mg-
24.t61,σὺν,σὺν,σύν,PREP,"along with, in company with, together with",INDECL,r--------
24.t62,τούτοις,τούτοις,οὗτος,ADJ,this; that,DAT.PL N,a-p---nd-
24.t63,θεῶν,θεῶν,θεός,NOUN,god,GEN.PL M,n-p---mg-
24.t64,οὔτε,οὔτε,οὔτε,,neither / nor,INDECL,b--------
24.t65,θύων,θύων,θύω,VERB,to sacrifice,PRES ACT NOM.SG M PTCP,v-sppamn-
24.t66,τισὶ,τισὶ,τις,ADJ,"any one, any thing, some one, some thing",DAT.PL c,a-p---cd-
24.t67,καινοῖς,καινοῖς,καινός,ADJ,"new, fresh",DAT.PL M,a-p---md-
24.t68,δαίμοσιν,δαίμοσιν,δαίμων,NOUN,god; divine power,DAT.PL M,n-p---md-
24.t69,οὔτε,οὔτε,οὔτε,,neither / nor,INDECL,b--------
24.t70,ὀμνὺς,ὀμνὺς,ὄμνυμι,VERB,to swear,PRES ACT NOM.SG M PTCP,v-sppamn-
24.t71,οὔτε,οὔτε,οὔτε,,neither / nor,INDECL,b--------
24.t72,νομίζων,νομίζων,νομίζω,VERB,to have as a custom; to believe,PRES ACT NOM.SG M PTCP,v-sppamn-
24.t73,ἄλλους,ἄλλους,ἄλλος,ADJ,"other, another",ACC.PL M,a-p---ma-
24.t74,θεοὺς,θεοὺς,θεός,NOUN,god,ACC.PL M,n-p---ma-
24.t75,ἀναπέφηνα.,ἀναπέφηνα,ἀναποφαίνω,VERB,,AOR ACT 1SG IND,v1saia---
25.t1,τούς,τούς,ὁ,ART,the,ACC.PL M,l-p---ma-
25.t2,γε,γε,γε,ADV,"at least, at any rate",INDECL,d--------
25.t3,μὴν,μὴν,μήν,ADV,"now verily, full surely",INDECL,d--------
25.t4,νέους,νέους,νέος,ADJ,"young, youthful",ACC.PL M,a-p---ma-
25.t5,πῶς,πῶς,πῶς,ADV,how? in what way,INDECL,d--------
